,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
YKL116C,-0.402900,-0.122900,-0.222900,-0.362900,-0.502900,-0.762900,-0.912900,-0.472900,-0.352900,-0.022900,0.527100,0.827100,0.947100,0.617100,0.477100,-0.022900,-0.232900,-0.742900,-0.232900,-0.502900,-0.332900,-0.052900,0.507100,0.627100,0.607100,0.407100,0.477100,0.237100,0.177100,-0.312900,-0.312900,-0.732900,-0.302900,-0.222900,-0.182900,0.257100,0.407100,0.397100,0.387100,0.467100,-0.022900
YKL164C,-0.985400,-1.255400,-1.485400,-1.495400,-1.895400,-1.895400,-2.095400,-1.825400,-1.345400,0.114600,0.734600,0.734600,0.944600,0.924600,0.834600,0.664600,0.354600,-0.055400,-0.085400,-0.625400,-0.475400,-0.095400,0.684600,0.834600,1.024600,1.274600,0.954600,0.834600,0.434600,0.544600,0.144600,-0.245400,-0.055400,0.194600,0.054600,0.754600,0.504600,0.664600,0.494600,0.554600,0.654600
YLR079W,-0.911000,-0.491000,-0.911000,-0.741000,-0.901000,-1.171000,-1.371000,-1.081000,-0.941000,0.129000,0.719000,1.039000,1.109000,1.019000,0.579000,0.339000,-0.091000,-0.731000,-0.691000,-0.661000,-0.711000,-0.161000,0.319000,0.879000,0.689000,0.889000,0.679000,0.729000,0.299000,0.049000,-0.171000,-0.481000,-0.421000,-0.131000,-0.031000,0.499000,0.549000,0.809000,0.549000,0.659000,0.269000
YNL078W,-0.871200,-0.561200,-0.821200,-0.881200,-0.981200,-1.081200,-1.051200,-1.001200,-1.051200,0.038800,0.728800,0.838800,1.008800,0.868800,0.638800,0.178800,0.088800,-0.711200,-0.431200,-0.801200,-0.651200,-0.431200,0.358800,0.628800,0.908800,0.758800,0.808800,0.748800,0.428800,0.068800,-0.001200,-0.461200,-0.351200,-0.221200,-0.121200,0.538800,0.528800,0.668800,0.538800,0.588800,0.518800
YNL327W,-2.557800,-2.207800,-2.597800,-2.257800,-2.577800,-2.777800,-2.937800,-2.677800,-2.537800,-0.217800,0.712200,1.212200,1.282200,1.382200,1.202200,0.872200,0.572200,0.062200,0.072200,-0.687800,-0.567800,-0.477800,0.772200,1.112200,1.312200,1.362200,1.362200,1.432200,0.912200,0.942200,0.572200,0.272200,0.462200,0.312200,0.422200,1.162200,0.872200,1.192200,1.012200,1.102200,1.122200
YIL009W,-0.542200,-0.452200,-0.592200,-0.542200,-0.622200,-0.782200,-0.802200,-0.372200,-0.162200,-0.042200,0.227800,0.617800,0.887800,0.557800,0.527800,-0.082200,-0.212200,-0.892200,-0.212200,-0.532200,-0.292200,-0.082200,0.387800,0.477800,0.597800,0.467800,0.697800,0.567800,0.407800,0.027800,-0.222200,-0.562200,-0.082200,-0.172200,-0.102200,0.197800,0.267800,0.407800,0.357800,0.577800,0.097800
YER158C,0.184100,0.234100,-0.305900,-0.245900,-0.525900,-0.655900,-0.765900,-0.635900,-0.765900,-0.185900,-0.245900,-0.035900,0.104100,0.264100,0.064100,-0.125900,-0.155900,-0.805900,-0.395900,-0.555900,-0.335900,-0.255900,0.104100,0.194100,0.414100,0.134100,0.344100,0.484100,0.384100,0.104100,0.184100,-0.405900,0.064100,0.134100,0.354100,0.624100,0.684100,0.624100,0.574100,0.534100,0.614100
YNR067C,-1.304100,-1.464100,-2.094100,-2.054100,-2.344100,-2.434100,-2.494100,-2.184100,-2.114100,-0.484100,0.595900,1.385900,1.595900,1.515900,1.335900,0.705900,0.305900,-0.454100,-0.164100,-1.034100,-0.874100,-0.624100,0.625900,1.045900,1.335900,1.255900,1.425900,1.355900,0.895900,0.525900,0.275900,-0.204100,0.095900,-0.174100,0.085900,0.915900,0.865900,1.165900,1.085900,1.145900,0.955900
YOL011W,0.353700,0.513700,0.053700,0.293700,0.173700,-0.236300,-0.366300,-0.146300,-0.116300,-0.036300,0.083700,0.223700,0.363700,0.303700,0.393700,-0.046300,0.033700,-0.546300,0.043700,-0.416300,-0.236300,-0.096300,0.213700,0.173700,0.143700,-0.076300,0.243700,0.173700,0.073700,-0.276300,-0.306300,-0.646300,-0.146300,-0.346300,-0.196300,0.083700,0.023700,0.083700,0.103700,0.153700,-0.066300
YOR264W,-1.706300,-1.456300,-1.696300,-1.506300,-1.726300,-1.836300,-2.016300,-1.786300,-1.676300,-0.286300,0.623700,1.343700,1.603700,1.423700,1.263700,0.703700,0.353700,-0.566300,-0.386300,-0.926300,-1.016300,-0.586300,0.453700,1.013700,1.213700,1.183700,1.323700,1.103700,0.933700,0.403700,0.213700,-0.466300,-0.106300,-0.296300,-0.126300,0.453700,0.773700,0.983700,1.013700,1.183700,0.603700
YBR067C,0.107600,0.007600,-0.362400,-0.312400,-0.662400,-1.042400,-1.252400,-0.502400,-0.092400,0.237600,0.387600,0.337600,0.427600,0.517600,0.447600,0.347600,-0.132400,-0.212400,-0.192400,-0.352400,-0.292400,-0.012400,0.217600,0.377600,0.307600,0.687600,0.327600,0.357600,-0.022400,0.007600,-0.292400,-0.612400,-0.222400,0.087600,-0.042400,0.387600,0.107600,0.337600,0.147600,0.177600,0.267600
YBR158W,-0.681700,-0.401700,-0.791700,-0.511700,-0.711700,-1.011700,-1.131700,-0.801700,-0.781700,-0.531700,0.028300,0.538300,0.788300,0.678300,0.708300,0.428300,0.028300,-0.361700,-0.091700,-0.501700,-0.591700,-0.371700,0.178300,0.518300,0.568300,0.808300,0.718300,0.728300,0.378300,0.308300,-0.021700,-0.271700,0.038300,-0.121700,-0.111700,0.308300,0.228300,0.508300,0.438300,0.538300,0.338300
YDR055W,0.371200,0.021200,-0.418800,-0.618800,-1.018800,-1.348800,-1.508800,-1.338800,-1.168800,-0.098800,0.681200,0.861200,1.001200,0.861200,0.691200,0.251200,-0.048800,-0.788800,-0.548800,-1.058800,-0.988800,-0.548800,0.491200,0.751200,0.931200,0.901200,0.811200,0.741200,0.291200,0.141200,-0.238800,-0.738800,-0.428800,-0.288800,-0.188800,0.611200,0.491200,0.731200,0.551200,0.631200,0.571200
YEL066W,0.526800,-0.093200,0.656800,-0.213200,-0.183200,-0.453200,-0.313200,-0.203200,0.266800,0.106800,0.446800,-0.063200,0.376800,0.226800,0.306800,-0.073200,-0.043200,-0.543200,-0.083200,-0.083200,-0.193200,-0.003200,0.016800,-0.033200,0.116800,0.266800,0.406800,0.056800,-0.053200,-0.083200,-0.293200,-0.633200,-0.413200,0.056800,-0.143200,0.026800,-0.003200,0.126800,-0.083200,0.156800,0.136800
YGR044C,-0.824100,-0.974100,-1.104100,-1.134100,-1.444100,-1.474100,-1.684100,-1.594100,-1.554100,-0.734100,0.165900,0.795900,1.125900,1.005900,0.815900,0.415900,0.035900,-0.684100,-0.334100,-0.814100,-0.894100,-0.794100,0.225900,0.615900,1.035900,0.895900,1.225900,1.015900,0.805900,0.435900,0.235900,-0.404100,0.025900,-0.124100,0.065900,0.575900,0.865900,1.065900,1.065900,1.085900,0.965900
YGR062C,-0.126100,-0.166100,0.183900,-0.146100,-0.186100,-0.466100,-0.486100,-0.346100,0.083900,-0.166100,0.163900,0.053900,0.413900,0.273900,0.113900,0.023900,-0.256100,-0.736100,-0.066100,-0.186100,-0.296100,-0.096100,0.053900,0.033900,0.203900,0.213900,0.433900,0.243900,0.253900,0.153900,-0.126100,-0.646100,-0.116100,0.173900,0.033900,0.043900,0.133900,0.243900,0.273900,0.503900,0.303900
YJL218W,-0.439300,-0.109300,0.070700,0.150700,0.050700,-0.289300,-0.079300,-0.249300,0.100700,0.060700,0.440700,0.530700,1.080700,0.670700,0.690700,0.130700,-0.069300,-0.459300,-0.109300,-0.409300,-0.399300,-0.139300,-0.029300,0.280700,0.260700,0.260700,0.420700,0.240700,-0.119300,-0.069300,-0.429300,-0.439300,-0.479300,-0.199300,-0.499300,-0.189300,-0.179300,0.160700,-0.179300,0.220700,-0.259300
YNL173C,-0.411200,-0.651200,-0.481200,-0.571200,-0.601200,-0.591200,-0.771200,-0.661200,-0.711200,-0.601200,-0.091200,0.058800,0.388800,0.368800,0.408800,0.178800,0.058800,-0.471200,-0.211200,-0.251200,-0.411200,-0.191200,-0.051200,0.188800,0.328800,0.478800,0.618800,0.518800,0.408800,0.328800,0.178800,-0.291200,0.008800,0.308800,0.138800,0.248800,0.448800,0.568800,0.528800,0.748800,0.508800
