"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"281",1000001,1,44.5668331668326,0,100,"Bayesian",NA,"Bayesian (Pooled)"
"506",1000001,1,35.7537462537463,0,10,"Bayesian",NA,"Bayesian (Pooled)"
"759",1000001,1,19.9120879120878,0,11,"Bayesian",NA,"Bayesian (Pooled)"
"1012",1000001,0.994329643200634,76.8258408258408,-1,12,"Bayesian",NA,"Bayesian (Pooled)"
"1265",1000001,0.994358445919113,85.5104895104894,-1,13,"Bayesian",NA,"Bayesian (Pooled)"
"1490",1000001,1,20.1725774225775,0,14,"Bayesian",NA,"Bayesian (Pooled)"
"1771",1000001,0.993658633738299,67.6083916083909,-1,15,"Bayesian",NA,"Bayesian (Pooled)"
"2052",1000001,1,12.435364635364,0,16,"Bayesian",NA,"Bayesian (Pooled)"
"2333",1000001,1,42.7018981018975,0,17,"Bayesian",NA,"Bayesian (Pooled)"
"2530",1000001,1,17.0786356500643,0,18,"Bayesian",NA,"Bayesian (Pooled)"
"2811",1000001,1,9.52587412587337,0,19,"Bayesian",NA,"Bayesian (Pooled)"
"3064",1000001,1,19.066267066267,0,1,"Bayesian",NA,"Bayesian (Pooled)"
"3345",1000001,1,14.3662337662331,0,20,"Bayesian",NA,"Bayesian (Pooled)"
"3598",1000001,0.994370059656621,56.2180042180041,-1,21,"Bayesian",NA,"Bayesian (Pooled)"
"3851",1000001,1,26.1256521256521,0,22,"Bayesian",NA,"Bayesian (Pooled)"
"4132",1000001,1,16.0879120879115,0,23,"Bayesian",NA,"Bayesian (Pooled)"
"4413",1000001,1,23.8769230769223,0,24,"Bayesian",NA,"Bayesian (Pooled)"
"4694",1000001,1,13.6209790209784,0,25,"Bayesian",NA,"Bayesian (Pooled)"
"4947",1000001,1,23.4483294483293,0,26,"Bayesian",NA,"Bayesian (Pooled)"
"5228",1000001,1,33.644355644355,0,27,"Bayesian",NA,"Bayesian (Pooled)"
"5481",1000001,1,19.2967032967032,0,28,"Bayesian",NA,"Bayesian (Pooled)"
"5734",1000001,1,12.6002886002885,0,29,"Bayesian",NA,"Bayesian (Pooled)"
"5987",1000001,1,41.8008658008658,0,2,"Bayesian",NA,"Bayesian (Pooled)"
"6212",1000001,1,10.1955544455545,0,30,"Bayesian",NA,"Bayesian (Pooled)"
"6493",1000001,1,31.6837162837155,0,31,"Bayesian",NA,"Bayesian (Pooled)"
"6746",1000001,1,43.5007215007215,0,32,"Bayesian",NA,"Bayesian (Pooled)"
"7027",1000001,1,18.5468531468525,0,33,"Bayesian",NA,"Bayesian (Pooled)"
"7308",1000001,1,11.34925074925,0,34,"Bayesian",NA,"Bayesian (Pooled)"
"7589",1000001,1,67.8059940059933,0,35,"Bayesian",NA,"Bayesian (Pooled)"
"7870",1000001,1,17.62937062937,0,36,"Bayesian",NA,"Bayesian (Pooled)"
"8095",1000001,1,22.0402097902098,0,37,"Bayesian",NA,"Bayesian (Pooled)"
"8348",1000001,1,20.3831723831723,0,38,"Bayesian",NA,"Bayesian (Pooled)"
"8629",1000001,1,16.7368631368624,0,39,"Bayesian",NA,"Bayesian (Pooled)"
"8910",1000001,1,19.9796203796196,0,3,"Bayesian",NA,"Bayesian (Pooled)"
"9163",1000001,1,10.6096126096125,0,40,"Bayesian",NA,"Bayesian (Pooled)"
"9444",1000001,1,11.9008991008984,0,41,"Bayesian",NA,"Bayesian (Pooled)"
"9697",1000001,1,13.1888111888111,0,42,"Bayesian",NA,"Bayesian (Pooled)"
"9950",1000001,1,15.9023199023198,0,43,"Bayesian",NA,"Bayesian (Pooled)"
"10231",1000001,1,12.4027972027964,0,44,"Bayesian",NA,"Bayesian (Pooled)"
"10512",1000001,1,30.2051948051941,0,45,"Bayesian",NA,"Bayesian (Pooled)"
"10793",1000001,1,11.3206793206786,0,46,"Bayesian",NA,"Bayesian (Pooled)"
"11018",1000001,1,28.2205294705295,0,47,"Bayesian",NA,"Bayesian (Pooled)"
"11243",1000001,1,23.3096903096904,0,48,"Bayesian",NA,"Bayesian (Pooled)"
"11468",1000001,1,36.5142357642358,0,49,"Bayesian",NA,"Bayesian (Pooled)"
"11749",1000001,1,17.8349650349644,0,4,"Bayesian",NA,"Bayesian (Pooled)"
"11974",1000001,0.994793775972256,53.0342157842159,-1,50,"Bayesian",NA,"Bayesian (Pooled)"
"12255",1000001,1,15.6975024975018,0,51,"Bayesian",NA,"Bayesian (Pooled)"
"12508",1000001,1,11.5579975579974,0,52,"Bayesian",NA,"Bayesian (Pooled)"
"12705",1000001,0.993999827977084,110.929070929071,-1,53,"Bayesian",NA,"Bayesian (Pooled)"
"12958",1000001,1,14.9559329559328,0,54,"Bayesian",NA,"Bayesian (Pooled)"
"13211",1000001,0.994586942338455,83.036297036297,-1,55,"Bayesian",NA,"Bayesian (Pooled)"
"13436",1000001,1,11.7422577422578,0,56,"Bayesian",NA,"Bayesian (Pooled)"
"13717",1000001,1,12.0719280719273,0,57,"Bayesian",NA,"Bayesian (Pooled)"
"13970",1000001,1,21.8834498834498,0,58,"Bayesian",NA,"Bayesian (Pooled)"
"14223",1000001,1,20.026418026418,0,59,"Bayesian",NA,"Bayesian (Pooled)"
"14504",1000001,0.993188699246144,60.0589410589403,-1,5,"Bayesian",NA,"Bayesian (Pooled)"
"14785",1000001,0.993085291242542,99.9792207792202,-1,60,"Bayesian",NA,"Bayesian (Pooled)"
"15010",1000001,1,16.2092907092908,0,61,"Bayesian",NA,"Bayesian (Pooled)"
"15263",1000001,0.99290332755086,106.810522810523,-1,62,"Bayesian",NA,"Bayesian (Pooled)"
"15516",1000001,1,10.9010989010988,0,63,"Bayesian",NA,"Bayesian (Pooled)"
