"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"253",1000001,1,5.76867576867577,0,100,"Bayesian",NA,"Bayesian (Pooled)"
"506",1000001,1,19.047397047397,0,10,"Bayesian",NA,"Bayesian (Pooled)"
"787",1000001,1,17.1760239760239,0,11,"Bayesian",NA,"Bayesian (Pooled)"
"1040",1000001,0.992806600311225,3.77577977577977,-2,12,"Bayesian",NA,"Bayesian (Pooled)"
"1321",1000001,1,52.986013986014,0,13,"Bayesian",NA,"Bayesian (Pooled)"
"1518",1000001,1,29.2781504210076,0,14,"Bayesian",NA,"Bayesian (Pooled)"
"1771",1000001,1,13.3093573093573,0,15,"Bayesian",NA,"Bayesian (Pooled)"
"2024",1000001,1,21.7480297480297,0,16,"Bayesian",NA,"Bayesian (Pooled)"
"2249",1000001,1,7.38986013986014,0,17,"Bayesian",NA,"Bayesian (Pooled)"
"2502",1000001,1,7.02963702963702,0,18,"Bayesian",NA,"Bayesian (Pooled)"
"2783",1000001,1,40.7824175824176,0,19,"Bayesian",NA,"Bayesian (Pooled)"
"2980",1000001,1,27.2795775652918,0,1,"Bayesian",NA,"Bayesian (Pooled)"
"3233",1000001,1,29.7557997557997,0,20,"Bayesian",NA,"Bayesian (Pooled)"
"3514",1000001,1,23.2057942057942,0,21,"Bayesian",NA,"Bayesian (Pooled)"
"3795",1000001,1,13.5650349650349,0,22,"Bayesian",NA,"Bayesian (Pooled)"
"4048",1000001,1,25.2907092907093,0,23,"Bayesian",NA,"Bayesian (Pooled)"
"4245",1000001,1,14.458398744113,0,24,"Bayesian",NA,"Bayesian (Pooled)"
"4414",1000001,1,0.430569430569427,0,25,"Bayesian",NA,"Bayesian (Pooled)"
"4639",1000001,1,13.1743256743257,0,26,"Bayesian",NA,"Bayesian (Pooled)"
"4892",1000001,1,0.650682650682643,0,27,"Bayesian",NA,"Bayesian (Pooled)"
"5173",1000001,1,8.41158841158837,0,28,"Bayesian",NA,"Bayesian (Pooled)"
"5426",1000001,0.98293630815336,27.7466977466977,-2,29,"Bayesian",NA,"Bayesian (Pooled)"
"5651",1000001,1,19.4113386613387,0,2,"Bayesian",NA,"Bayesian (Pooled)"
