"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"253",1000001,1,96.6082806082807,0,100,"Bayesian",NA,"Bayesian (Pooled)"
"478",1000001,0.994307010638201,140.225024975025,-1,14,"Bayesian",NA,"Bayesian (Pooled)"
"731",1000001,1,71.2516372516371,0,15,"Bayesian",NA,"Bayesian (Pooled)"
"1012",1000001,1,19.7492507492498,0,1,"Bayesian",NA,"Bayesian (Pooled)"
"1265",1000001,1,17.6263736263735,0,20,"Bayesian",NA,"Bayesian (Pooled)"
"1518",1000001,0.988693504438754,468.611610611611,-1,21,"Bayesian",NA,"Bayesian (Pooled)"
"1799",1000001,0.994214891640414,169.80919080919,-1,23,"Bayesian",NA,"Bayesian (Pooled)"
"2052",1000001,1,74.5643245643245,0,24,"Bayesian",NA,"Bayesian (Pooled)"
"2305",1000001,1,97.1535131535132,0,28,"Bayesian",NA,"Bayesian (Pooled)"
"2502",1000001,1,206.635079206508,0,32,"Bayesian",NA,"Bayesian (Pooled)"
"2755",1000001,1,29.5910755910755,0,34,"Bayesian",NA,"Bayesian (Pooled)"
"3008",1000001,0.987775917348516,280.451104451104,-2,35,"Bayesian",NA,"Bayesian (Pooled)"
"3261",1000001,1,92.0248640248641,0,36,"Bayesian",NA,"Bayesian (Pooled)"
"3486",1000001,1,54.1288711288713,0,37,"Bayesian",NA,"Bayesian (Pooled)"
"3711",1000001,1,32.998251748252,0,38,"Bayesian",NA,"Bayesian (Pooled)"
"3936",1000001,1,46.7617382617386,0,39,"Bayesian",NA,"Bayesian (Pooled)"
"4189",1000001,1,91.5120435120433,0,40,"Bayesian",NA,"Bayesian (Pooled)"
"4470",1000001,1,71.8077922077915,0,41,"Bayesian",NA,"Bayesian (Pooled)"
"4695",1000001,1,37.2769730269733,0,42,"Bayesian",NA,"Bayesian (Pooled)"
"4948",1000001,0.992976691972988,143.987567987568,-1,44,"Bayesian",NA,"Bayesian (Pooled)"
"5201",1000001,1,117.186147186147,0,45,"Bayesian",NA,"Bayesian (Pooled)"
"5454",1000001,1,106.15762015762,0,46,"Bayesian",NA,"Bayesian (Pooled)"
"5679",1000001,0.988862818985931,123.967282717283,-1,48,"Bayesian",NA,"Bayesian (Pooled)"
"5932",1000001,1,69.4099234099234,0,4,"Bayesian",NA,"Bayesian (Pooled)"
"6185",1000001,1,45.1968031968031,0,52,"Bayesian",NA,"Bayesian (Pooled)"
"6466",1000001,1,99.2847152847146,0,53,"Bayesian",NA,"Bayesian (Pooled)"
"6719",1000001,1,178.101232101232,0,54,"Bayesian",NA,"Bayesian (Pooled)"
"6972",1000001,1,31.6063936063935,0,56,"Bayesian",NA,"Bayesian (Pooled)"
"7197",1000001,1,119.011238761239,0,57,"Bayesian",NA,"Bayesian (Pooled)"
"7450",1000001,1,44.140304140304,0,58,"Bayesian",NA,"Bayesian (Pooled)"
"7703",1000001,1,23.075147075147,0,5,"Bayesian",NA,"Bayesian (Pooled)"
"7928",1000001,1,73.7779720279723,0,61,"Bayesian",NA,"Bayesian (Pooled)"
"8153",1000001,1,97.7355144855147,0,63,"Bayesian",NA,"Bayesian (Pooled)"
"8378",1000001,1,32.3459040959043,0,65,"Bayesian",NA,"Bayesian (Pooled)"
