"","N_iter","ARI","Frobenius_norm","K_diff","Simulation","Inference","N_seeds","Model"
"253",1000001,0.752433117250389,6667.21345321345,-20,100,"Bayesian",NA,"Bayesian (Pooled)"
"534",1000001,0.762703152651887,7604.52007992008,-20,10,"Bayesian",NA,"Bayesian (Pooled)"
"815",1000001,0.616583150851989,9319.11528471528,-20,11,"Bayesian",NA,"Bayesian (Pooled)"
"1096",1000001,0.755023007277582,5626.63336663337,-18,12,"Bayesian",NA,"Bayesian (Pooled)"
"1377",1000001,0.661530782965407,8509.05954045954,-20,13,"Bayesian",NA,"Bayesian (Pooled)"
"1630",1000001,0.872988737682724,4713.28804528805,-19,14,"Bayesian",NA,"Bayesian (Pooled)"
"1911",1000001,0.772570343426012,5706.64395604396,-20,15,"Bayesian",NA,"Bayesian (Pooled)"
"2192",1000001,0.804756795535719,5844.44795204795,-20,16,"Bayesian",NA,"Bayesian (Pooled)"
"2473",1000001,0.617286339847036,9379.74425574426,-20,17,"Bayesian",NA,"Bayesian (Pooled)"
"2754",1000001,0.764488765602165,6700.34025974026,-20,18,"Bayesian",NA,"Bayesian (Pooled)"
"3007",1000001,0.820414886026154,4674.60250860251,-20,19,"Bayesian",NA,"Bayesian (Pooled)"
"3232",1000001,0.653893612729166,8060.30494505495,-20,1,"Bayesian",NA,"Bayesian (Pooled)"
"3457",1000001,0.657013242688767,7859.86463536464,-20,20,"Bayesian",NA,"Bayesian (Pooled)"
"3710",1000001,0.628001498573323,7006.34787434787,-20,21,"Bayesian",NA,"Bayesian (Pooled)"
"3991",1000001,0.700924704117413,7554.88551448551,-20,22,"Bayesian",NA,"Bayesian (Pooled)"
"4272",1000001,0.724187736348525,6361.19340659341,-20,23,"Bayesian",NA,"Bayesian (Pooled)"
"4525",1000001,0.698848133121993,7094.64069264069,-20,24,"Bayesian",NA,"Bayesian (Pooled)"
"4778",1000001,0.628846001535081,9485.08602508603,-20,25,"Bayesian",NA,"Bayesian (Pooled)"
"5059",1000001,0.712960305873351,6501.58201798202,-20,26,"Bayesian",NA,"Bayesian (Pooled)"
"5340",1000001,0.712544766876729,6829.74785214785,-20,27,"Bayesian",NA,"Bayesian (Pooled)"
"5593",1000001,0.723574827120063,6500.60295260295,-20,28,"Bayesian",NA,"Bayesian (Pooled)"
"5846",1000001,0.784307659302801,5620.05683205683,-20,29,"Bayesian",NA,"Bayesian (Pooled)"
"6127",1000001,0.72122214617499,7312.15184815185,-20,2,"Bayesian",NA,"Bayesian (Pooled)"
"6324",1000001,0.738681339016019,6666.29713143999,-20,30,"Bayesian",NA,"Bayesian (Pooled)"
"6605",1000001,0.836770115553179,5346.29050949051,-20,31,"Bayesian",NA,"Bayesian (Pooled)"
"6858",1000001,0.68651457292715,7075.00765900766,-20,32,"Bayesian",NA,"Bayesian (Pooled)"
"7139",1000001,0.708980196427198,6829.94325674326,-20,33,"Bayesian",NA,"Bayesian (Pooled)"
"7392",1000001,0.764937807759381,6158.75369075369,-20,34,"Bayesian",NA,"Bayesian (Pooled)"
"7645",1000001,0.746162038588161,5550.02752802753,-20,35,"Bayesian",NA,"Bayesian (Pooled)"
"7870",1000001,0.790417570348996,5643.41158841159,-20,36,"Bayesian",NA,"Bayesian (Pooled)"
"8151",1000001,0.756184480269909,7168.65634365634,-20,37,"Bayesian",NA,"Bayesian (Pooled)"
"8432",1000001,0.766144189909569,6348.77402597403,-20,38,"Bayesian",NA,"Bayesian (Pooled)"
"8685",1000001,0.744129946347221,7066.17094017094,-20,39,"Bayesian",NA,"Bayesian (Pooled)"
"8910",1000001,0.671006253959534,8448.07292707293,-20,3,"Bayesian",NA,"Bayesian (Pooled)"
"9163",1000001,0.672347588544481,7088.71905871906,-20,40,"Bayesian",NA,"Bayesian (Pooled)"
"9388",1000001,0.663141458013328,7347.6033966034,-20,41,"Bayesian",NA,"Bayesian (Pooled)"
"9641",1000001,0.721660313077124,7137.1674991675,-20,42,"Bayesian",NA,"Bayesian (Pooled)"
"9894",1000001,0.708239523909421,7092.63603063603,-20,43,"Bayesian",NA,"Bayesian (Pooled)"
"10119",1000001,0.7689437676535,6488.59115884116,-20,44,"Bayesian",NA,"Bayesian (Pooled)"
