"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K1
(16)","CC","GO:0005933","cellular bud",0.5625,"73/550",4.24577816345015e-05,0.00140294655498615,0.00129502758921798,"855646/855389/855804/854437/850891/851440/853650/855945/851375",9,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"2","K1
(16)","CC","GO:0005618","cell wall",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"3","K1
(16)","CC","GO:0009277","fungal-type cell wall",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"4","K1
(16)","CC","GO:0030312","external encapsulating structure",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"5","K1
(16)","CC","GO:0005935","cellular bud neck",0.4375,"57/550",0.000488257510461637,0.00634734763600128,0.00585909012553964,"855646/855804/854437/850891/851440/855945/851375",7,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"6","K1
(16)","CC","GO:0071944","cell periphery",0.5625,"111/550",0.00132671866968795,0.0111428015980573,0.0102856630135914,"853692/855646/855389/855804/850891/853693/856313/851440/853281",9,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"7","K5
(3)","BP","GO:0048878","chemical homeostasis",0.666666666666667,"10/549",0.000888700952184281,0.0408802438004769,0.0383544621469005,"851246/854052",2,"K5 (3)","Consensus clustering",NA,"Consensus Clustering",5,"ALL"
"8","K8
(19)","CC","GO:0000131","incipient cellular bud site",0.263157894736842,"19/550",0.000242059310749306,0.0162179738202035,0.0135043615470665,"851904/851430/853136/855427/853102",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"ALL"
"9","K8
(19)","CC","GO:0071944","cell periphery",0.526315789473684,"111/550",0.0013859613476031,0.0408818685405148,0.0340414616283941,"855529/851904/853136/853102/855940/856854/855352/851055/852897/856729",10,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"ALL"
"10","K8
(19)","MF","GO:0016757","transferase activity, transferring glycosyl groups",0.263157894736842,"18/546",0.000188709248144908,0.0109451363924047,0.0105279896333475,"855529/852845/853102/856718/851055",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"ALL"
"11","K8
(19)","MF","GO:0019899","enzyme binding",0.263157894736842,"22/546",0.000530937136384946,0.0153971769551634,0.014810351699159,"851904/851430/855427/856854/855418",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"ALL"
"12","K8
(19)","MF","GO:0016758","transferase activity, transferring hexosyl groups",0.210526315789474,"16/546",0.00147106574678192,0.0284406044377837,0.0273566612559444,"855529/852845/856718/851055",4,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"ALL"
"13","K11
(17)","CC","GO:0031090","organelle membrane",0.470588235294118,"89/550",0.00241818361917898,0.0387498664534865,0.0346709331425932,"855406/855412/851902/856917/856645/853434/853354/854347",8,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"14","K11
(17)","CC","GO:0016020","membrane",0.647058823529412,"163/550",0.00250839768166052,0.0387498664534865,0.0346709331425932,"853207/855406/855412/851902/856917/856645/853434/853354/852330/854347/853770",11,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"15","K11
(17)","CC","GO:0005759","mitochondrial matrix",0.176470588235294,"10/550",0.00258332443023243,0.0387498664534865,0.0346709331425932,"855406/851098/856917",3,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"16","K11
(17)","CC","GO:0019866","organelle inner membrane",0.176470588235294,"10/550",0.00258332443023243,0.0387498664534865,0.0346709331425932,"855406/856917/854347",3,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"ALL"
"17","K13
(6)","BP","GO:0032787","monocarboxylic acid metabolic process",0.833333333333333,"14/549",2.90293974805403e-08,5.2543209439778e-06,4.58358907587479e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"18","K13
(6)","BP","GO:0044281","small molecule metabolic process",1,"40/549",1.03741420463373e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/852846/854706/850317/850614",6,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"19","K13
(6)","BP","GO:0019752","carboxylic acid metabolic process",0.833333333333333,"19/549",1.67298831253942e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"20","K13
(6)","BP","GO:0006082","organic acid metabolic process",0.833333333333333,"20/549",2.22715914368116e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"21","K13
(6)","BP","GO:0043436","oxoacid metabolic process",0.833333333333333,"20/549",2.22715914368116e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"22","K13
(6)","BP","GO:0048878","chemical homeostasis",0.333333333333333,"10/549",0.00431475979534408,0.0489157419387396,0.042671481772672,"850317/850614",2,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"ALL"
"23","K15
(6)","BP","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.5,"17/549",0.000467785396214407,0.0307079781910042,0.0187299030776415,"856847/853952/854232",3,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"24","K15
(6)","BP","GO:0044249","cellular biosynthetic process",1,"188/549",0.00152906084442939,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"25","K15
(6)","BP","GO:1901576","organic substance biosynthetic process",1,"190/549",0.00163068944296328,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"26","K15
(6)","BP","GO:0009058","biosynthetic process",1,"191/549",0.00168357666814046,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"27","K15
(6)","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.5,"26/549",0.0017219427022993,0.0307079781910042,0.0187299030776415,"856847/853952/854232",3,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"ALL"
"28","K16
(17)","BP","GO:0006974","cellular response to DNA damage stimulus",0.647058823529412,"81/549",2.26101356236082e-06,0.000490639943032298,0.000416502498329625,"851399/851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"ALL"
