"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K5
(3)","GO:0048878","chemical homeostasis",0.666666666666667,"10/549",0.000888700952184281,0.0408802438004769,0.0383544621469005,"851246/854052",2,"K5 (3)","Consensus clustering",NA,"Consensus Clustering",5,"BP"
"2","K13
(6)","GO:0032787","monocarboxylic acid metabolic process",0.833333333333333,"14/549",2.90293974805403e-08,5.2543209439778e-06,4.58358907587479e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"3","K13
(6)","GO:0044281","small molecule metabolic process",1,"40/549",1.03741420463373e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/852846/854706/850317/850614",6,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"4","K13
(6)","GO:0019752","carboxylic acid metabolic process",0.833333333333333,"19/549",1.67298831253942e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"5","K13
(6)","GO:0006082","organic acid metabolic process",0.833333333333333,"20/549",2.22715914368116e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"6","K13
(6)","GO:0043436","oxoacid metabolic process",0.833333333333333,"20/549",2.22715914368116e-07,8.0623161001258e-06,7.03313413794051e-06,"854556/854529/854706/850317/850614",5,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"7","K13
(6)","GO:0048878","chemical homeostasis",0.333333333333333,"10/549",0.00431475979534408,0.0489157419387396,0.042671481772672,"850317/850614",2,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"BP"
"8","K15
(6)","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.5,"17/549",0.000467785396214407,0.0307079781910042,0.0187299030776415,"856847/853952/854232",3,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"9","K15
(6)","GO:0044249","cellular biosynthetic process",1,"188/549",0.00152906084442939,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"10","K15
(6)","GO:1901576","organic substance biosynthetic process",1,"190/549",0.00163068944296328,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"11","K15
(6)","GO:0009058","biosynthetic process",1,"191/549",0.00168357666814046,0.0307079781910042,0.0187299030776415,"856847/853952/855861/851891/853861/854232",6,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"12","K15
(6)","GO:0000082","G1/S transition of mitotic cell cycle",0.5,"26/549",0.0017219427022993,0.0307079781910042,0.0187299030776415,"856847/853952/854232",3,"K15 (6)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"13","K16
(17)","GO:0006974","cellular response to DNA damage stimulus",0.647058823529412,"81/549",2.26101356236082e-06,0.000490639943032298,0.000416502498329625,"851399/851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"14","K16
(17)","GO:0006281","DNA repair",0.588235294117647,"72/549",7.61296811361909e-06,0.000826007040327671,0.000701194431517548,"851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"15","K16
(17)","GO:0007064","mitotic sister chromatid cohesion",0.352941176470588,"22/549",1.8807715870792e-05,0.00136042478132062,0.00115485974645214,"850584/854315/853371/855459/850297/850540",6,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"16","K16
(17)","GO:0007062","sister chromatid cohesion",0.352941176470588,"25/549",4.23087365667249e-05,0.00229524895874482,0.00194842865767812,"850584/854315/853371/855459/850297/850540",6,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"17","K16
(17)","GO:0033554","cellular response to stress",0.647058823529412,"110/549",5.62762383933535e-05,0.00244238874627154,0.0020733350987025,"851399/851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"18","K16
(17)","GO:0006259","DNA metabolic process",0.588235294117647,"95/549",0.000105319636998955,0.0037132013156259,0.00315212335791672,"851453/850584/853752/855642/854315/850719/853371/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"19","K18
(11)","GO:0006333","chromatin assembly or disassembly",0.818181818181818,"34/549",2.2665575281479e-10,4.39712160460693e-08,2.21884052755531e-08,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"20","K18
(11)","GO:0006325","chromatin organization",0.818181818181818,"58/549",4.22547606359455e-08,4.09871178168672e-06,2.06825933639102e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"21","K18
(11)","GO:0006351","transcription, DNA-templated",0.727272727272727,"84/549",2.47948206662634e-05,0.000827002426935609,0.000417315386353834,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"22","K18
(11)","GO:0034293","sexual sporulation",0.363636363636364,"11/549",2.70522601231517e-05,0.000827002426935609,0.000417315386353834,"855701/852295/855700/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"23","K18
(11)","GO:0043935","sexual sporulation resulting in formation of a cellular spore",0.363636363636364,"11/549",2.70522601231517e-05,0.000827002426935609,0.000417315386353834,"855701/852295/855700/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"24","K18
(11)","GO:0006342","chromatin silencing",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"25","K18
(11)","GO:0016458","gene silencing",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"26","K18
(11)","GO:0040029","regulation of gene expression, epigenetic",0.363636363636364,"30/549",0.00183987750385766,0.008498481803533,0.00428843628718703,"855976/851811/852283/852294",4,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"27","K18
(11)","GO:0006259","DNA metabolic process",0.545454545454545,"95/549",0.00510704043859982,0.0173818569313748,0.00877109438208279,"855976/851811/852295/851810/855700/852283",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"28","K18
(11)","GO:0006281","DNA repair",0.454545454545455,"72/549",0.0082976934692527,0.0243901898944701,0.012307583614681,"851811/852295/851810/855700/852283",5,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"29","K18
(11)","GO:0044249","cellular biosynthetic process",0.727272727272727,"188/549",0.00991100231057672,0.0274676349750269,0.0138604994719344,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"30","K18
(11)","GO:1901576","organic substance biosynthetic process",0.727272727272727,"190/549",0.0106554360535053,0.0291148534419723,0.0146917057520533,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
"31","K18
(11)","GO:0009058","biosynthetic process",0.727272727272727,"191/549",0.0110442889589685,0.0297582230283318,0.0150163577950888,"855976/851811/852295/851810/855700/852283/855743/852294",8,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"BP"
