"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K1
(16)","GO:0005933","cellular bud",0.5625,"73/550",4.24577816345015e-05,0.00140294655498615,0.00129502758921798,"855646/855389/855804/854437/850891/851440/853650/855945/851375",9,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"2","K1
(16)","GO:0005618","cell wall",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"3","K1
(16)","GO:0009277","fungal-type cell wall",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"4","K1
(16)","GO:0030312","external encapsulating structure",0.375,"30/550",8.63351726145321e-05,0.00140294655498615,0.00129502758921798,"853692/855389/855804/850891/853693/853281",6,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"5","K1
(16)","GO:0005935","cellular bud neck",0.4375,"57/550",0.000488257510461637,0.00634734763600128,0.00585909012553964,"855646/855804/854437/850891/851440/855945/851375",7,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"6","K1
(16)","GO:0005576","extracellular region",0.3125,"31/550",0.00115255196363764,0.0111428015980573,0.0102856630135914,"853692/855389/855804/853693/853281",5,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"7","K1
(16)","GO:0071944","cell periphery",0.5625,"111/550",0.00132671866968795,0.0111428015980573,0.0102856630135914,"853692/855646/855389/855804/850891/853693/856313/851440/853281",9,"K1 (16)","Consensus clustering",NA,"Consensus Clustering",1,"CC"
"8","K8
(19)","GO:0000131","incipient cellular bud site",0.263157894736842,"19/550",0.000242059310749306,0.0162179738202035,0.0135043615470665,"851904/851430/853136/855427/853102",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"CC"
"9","K8
(19)","GO:0071944","cell periphery",0.526315789473684,"111/550",0.0013859613476031,0.0408818685405148,0.0340414616283941,"855529/851904/853136/853102/855940/856854/855352/851055/852897/856729",10,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"CC"
"10","K8
(19)","GO:0005934","cellular bud tip",0.210526315789474,"17/550",0.00183053142718723,0.0408818685405148,0.0340414616283941,"851904/851430/853136/851055",4,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"CC"
"11","K8
(19)","GO:0005576","extracellular region",0.263157894736842,"31/550",0.00271543166250236,0.0454834803469146,0.0378731258191119,"853102/853882/855352/852897/856729",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"CC"
"12","K11
(17)","GO:0031090","organelle membrane",0.470588235294118,"89/550",0.00241818361917898,0.0387498664534865,0.0346709331425932,"855406/855412/851902/856917/856645/853434/853354/854347",8,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"CC"
"13","K11
(17)","GO:0016020","membrane",0.647058823529412,"163/550",0.00250839768166052,0.0387498664534865,0.0346709331425932,"853207/855406/855412/851902/856917/856645/853434/853354/852330/854347/853770",11,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"CC"
"14","K11
(17)","GO:0005759","mitochondrial matrix",0.176470588235294,"10/550",0.00258332443023243,0.0387498664534865,0.0346709331425932,"855406/851098/856917",3,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"CC"
"15","K11
(17)","GO:0019866","organelle inner membrane",0.176470588235294,"10/550",0.00258332443023243,0.0387498664534865,0.0346709331425932,"855406/856917/854347",3,"K11 (17)","Consensus clustering",NA,"Consensus Clustering",11,"CC"
"16","K16
(17)","GO:0005694","chromosome",0.647058823529412,"121/550",0.000144504143133155,0.00794772787232351,0.00623649459837825,"856129/851399/851453/850584/855407/854315/850719/853371/855459/850297/850540",11,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"17","K16
(17)","GO:0000785","chromatin",0.294117647058824,"32/550",0.00182297247023509,0.0275230316516226,0.0215970200519909,"856129/851399/850584/855407/850719",5,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"18","K16
(17)","GO:0043228","non-membrane-bounded organelle",0.764705882352941,"219/550",0.00208375302487721,0.0275230316516226,0.0215970200519909,"856129/851399/851453/850584/855407/854315/850719/853371/855488/856304/855459/850297/850540",13,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"19","K16
(17)","GO:0043232","intracellular non-membrane-bounded organelle",0.764705882352941,"219/550",0.00208375302487721,0.0275230316516226,0.0215970200519909,"856129/851399/851453/850584/855407/854315/850719/853371/855488/856304/855459/850297/850540",13,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"20","K16
(17)","GO:0005634","nucleus",0.882352941176471,"295/550",0.00261105946108241,0.0275230316516226,0.0215970200519909,"856129/851399/851453/850584/853752/855642/855407/854315/850719/851267/853371/856304/855459/850297/850540",15,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"21","K16
(17)","GO:0031981","nuclear lumen",0.588235294117647,"142/550",0.00347909300951983,0.0275230316516226,0.0215970200519909,"851399/850584/853752/855407/850719/853371/856304/855459/850297/850540",10,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
"22","K16
(17)","GO:0000228","nuclear chromosome",0.470588235294118,"94/550",0.0035029313011156,0.0275230316516226,0.0215970200519909,"851399/850584/855407/850719/853371/855459/850297/850540",8,"K16 (17)","Consensus clustering",NA,"Consensus Clustering",16,"CC"
