"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K8
(19)","GO:0016757","transferase activity, transferring glycosyl groups",0.263157894736842,"18/546",0.000188709248144908,0.0109451363924047,0.0105279896333475,"855529/852845/853102/856718/851055",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"MF"
"2","K8
(19)","GO:0019899","enzyme binding",0.263157894736842,"22/546",0.000530937136384946,0.0153971769551634,0.014810351699159,"851904/851430/855427/856854/855418",5,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"MF"
"3","K8
(19)","GO:0016758","transferase activity, transferring hexosyl groups",0.210526315789474,"16/546",0.00147106574678192,0.0284406044377837,0.0273566612559444,"855529/852845/856718/851055",4,"K8 (19)","Consensus clustering",NA,"Consensus Clustering",8,"MF"
"4","K13
(6)","GO:0016773","phosphotransferase activity, alcohol group as acceptor",0.5,"23/546",0.00120706398684502,0.0372381811371476,0.0247566855205413,"854529/850317/850614",3,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"MF"
"5","K13
(6)","GO:0016301","kinase activity",0.5,"27/546",0.00195990427037619,0.0372381811371476,0.0247566855205413,"854529/850317/850614",3,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"MF"
"6","K13
(6)","GO:0003824","catalytic activity",1,"211/546",0.00318687119673884,0.0403670351586919,0.0268368100778007,"854556/854529/852846/854706/850317/850614",6,"K13 (6)","Consensus clustering",NA,"Consensus Clustering",13,"MF"
"7","K18
(11)","GO:0046982","protein heterodimerization activity",0.545454545454545,"12/546",1.13663955403479e-08,1.02297559863131e-07,1.19646268845767e-08,"852284/851811/852295/851810/852283/852294",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"8","K18
(11)","GO:0046983","protein dimerization activity",0.545454545454545,"16/546",9.53849467121402e-08,4.29232260204631e-07,5.02026035327054e-08,"852284/851811/852295/851810/852283/852294",6,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"9","K18
(11)","GO:0003677","DNA binding",0.818181818181818,"92/546",3.18398236699519e-06,9.55194710098558e-06,1.11718679543691e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"10","K18
(11)","GO:0003676","nucleic acid binding",0.818181818181818,"119/546",3.18251068876065e-05,7.16064904971146e-05,8.3750281283175e-06,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"11","K18
(11)","GO:1901363","heterocyclic compound binding",0.818181818181818,"175/546",0.000887424862751002,0.00153522252687525,0.000179558190277807,"855701/855976/852284/851811/852295/851810/855700/852283/852294",9,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"12","K18
(11)","GO:0005515","protein binding",0.636363636363636,"103/546",0.00120417730339302,0.00154822796150531,0.000181079293743312,"852284/851811/852295/851810/852283/855743/852294",7,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"13","K18
(11)","GO:0005488","binding",0.909090909090909,"281/546",0.00715936457992793,0.00805428515241893,0.000942021655253675,"855701/855976/852284/851811/852295/851810/855700/852283/855743/852294",10,"K18 (11)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"14","K21
(20)","GO:0140097","catalytic activity, acting on DNA",0.4,"30/546",2.53364417832366e-06,0.00015961958323439,0.000128015705852143,"853500/853821/852245/856305/851391/850793/855621/853747",8,"K21 (20)","Consensus clustering",NA,"Consensus Clustering",21,"MF"
