"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K1
(194)","CC","GO:0031224","intrinsic component of membrane",0.417525773195876,"128/550",1.09217123693101e-13,1.07032781219239e-11,7.58771596183647e-12,"855389/851625/852953/853207/850891/853243/852932/852092/856897/853367/852751/855023/851902/850490/852845/850811/852362/851544/856645/850812/856050/852114/856595/854141/853354/852330/851551/851315/853102/856510/853690/852458/852857/853580/850731/851464/851246/856718/850739/855416/856191/851036/851891/856492/852303/850519/855438/856739/853323/855018/853766/855255/856698/856729/855015/856699/851663/852382/854804/854648/853396/854271/856357/850631/856279/850389/850746/856049/856883/854007/856272/851004/853045/854447/851211/851522/850938/854403/856893/855681/854052",81,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"2","K1
(194)","CC","GO:0016020","membrane",0.484536082474227,"163/550",1.79145447006577e-12,8.77812690332225e-11,6.22294710654424e-11,"855389/851625/852953/855548/853207/850891/855293/855406/853243/852932/851267/852092/856897/853367/852751/855023/851902/856917/850490/852845/850811/852129/852362/851544/856645/850812/856050/852114/856595/854141/853354/852330/851551/851315/853102/856510/853690/852458/852857/853580/856664/850731/854941/851464/851246/856718/850739/855416/856191/851036/851891/856492/852303/850519/855438/856739/853323/855018/853766/855255/851805/856698/856729/855015/856699/851663/852209/852382/854804/854648/853396/854271/856357/850631/856279/850389/850746/856049/856883/854007/856272/851004/853045/854447/851211/851522/850938/854403/855387/856893/853137/855681/855388/854052",94,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"3","K1
(194)","CC","GO:0016021","integral component of membrane",0.345360824742268,"110/550",6.85748724410709e-10,2.24011249974165e-08,1.5880496775827e-08,"852953/853207/853243/852932/852092/856897/852751/855023/851902/850490/852845/852362/851544/856645/856050/852114/856595/854141/853354/852330/851551/851315/856510/853690/852458/852857/853580/851464/851246/856718/850739/856191/851036/851891/856492/852303/850519/855438/856739/853323/855255/856698/855015/856699/851663/852382/854648/853396/854271/856357/850631/856279/850389/850746/856049/856883/854007/856272/851004/853045/854447/851211/851522/850938/854403/855681/854052",67,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"4","K1
(194)","CC","GO:0031090","organelle membrane",0.293814432989691,"89/550",1.34660969150236e-09,3.29919374418079e-08,2.33884841155674e-08,"852953/855406/853243/851267/852092/856897/852751/851902/856917/852845/852129/852362/851544/856645/856050/852114/856595/854141/853354/851551/851315/856510/853690/852458/852857/854941/851464/851246/856718/850739/856191/851891/852303/850519/856739/851805/856698/855015/851663/854648/854271/856357/850631/856279/850746/856883/854007/851004/853045/854447/851211/854403/855387/853137/855681/855388/854052",57,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"5","K1
(194)","CC","GO:0005773","vacuole",0.195876288659794,"55/550",7.55842619287858e-08,1.4814515338042e-06,1.05022342890523e-06,"855389/851625/850891/855293/852092/855023/852791/850992/856645/856050/854141/851551/851315/854155/853690/852458/852857/853882/850731/855940/856191/855438/853766/855255/856729/851663/854804/854648/853396/854271/850631/856279/854007/851004/854447/851211/853366/854052",38,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"6","K1
(194)","CC","GO:0000322","storage vacuole",0.190721649484536,"54/550",1.66271989917553e-07,2.03683187649002e-06,1.44394096507349e-06,"855389/851625/850891/855293/852092/855023/852791/850992/856050/854141/851551/851315/854155/853690/852458/852857/853882/850731/855940/856191/855438/853766/855255/856729/851663/854804/854648/853396/854271/850631/856279/854007/851004/854447/851211/853366/854052",37,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"7","K1
(194)","CC","GO:0000323","lytic vacuole",0.190721649484536,"54/550",1.66271989917553e-07,2.03683187649002e-06,1.44394096507349e-06,"855389/851625/850891/855293/852092/855023/852791/850992/856050/854141/851551/851315/854155/853690/852458/852857/853882/850731/855940/856191/855438/853766/855255/856729/851663/854804/854648/853396/854271/850631/856279/854007/851004/854447/851211/853366/854052",37,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"8","K1
(194)","CC","GO:0000324","fungal-type vacuole",0.190721649484536,"54/550",1.66271989917553e-07,2.03683187649002e-06,1.44394096507349e-06,"855389/851625/850891/855293/852092/855023/852791/850992/856050/854141/851551/851315/854155/853690/852458/852857/853882/850731/855940/856191/855438/853766/855255/856729/851663/854804/854648/853396/854271/850631/856279/854007/851004/854447/851211/853366/854052",37,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"9","K1
(194)","CC","GO:0005789","endoplasmic reticulum membrane",0.118556701030928,"38/550",0.000890803442490133,0.00415708273162062,0.00294701890748616,"853243/852751/851902/852845/852362/851544/856595/853354/851551/856510/853690/852857/851464/851246/850739/851891/850519/856357/850746/856883/853045/855681/854052",23,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"10","K1
(194)","CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network",0.118556701030928,"38/550",0.000890803442490133,0.00415708273162062,0.00294701890748616,"853243/852751/851902/852845/852362/851544/856595/853354/851551/856510/853690/852857/851464/851246/850739/851891/850519/856357/850746/856883/853045/855681/854052",23,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"ALL"
"11","K2
(5)","CC","GO:0005935","cellular bud neck",1,"57/550",1.01671595798294e-05,0.000264346149075566,0.000214045464838515,"855646/850334/853554/854084/855945",5,"K2 (5)","Consensus clustering",NA,"Consensus Clustering",2,"ALL"
"12","K2
(5)","CC","GO:0030427","site of polarized growth",1,"67/550",2.34507672797919e-05,0.000304859974637295,0.000246850181892547,"855646/850334/853554/854084/855945",5,"K2 (5)","Consensus clustering",NA,"Consensus Clustering",2,"ALL"
"13","K2
(5)","CC","GO:0005933","cellular bud",1,"73/550",3.64724782989342e-05,0.000316094811924097,0.000255947216132872,"855646/850334/853554/854084/855945",5,"K2 (5)","Consensus clustering",NA,"Consensus Clustering",2,"ALL"
"14","K2
(5)","CC","GO:0005938","cell cortex",0.6,"33/550",0.00181908387712496,0.0118240452013123,0.00957412566907875,"855646/850334/853554",3,"K2 (5)","Consensus clustering",NA,"Consensus Clustering",2,"ALL"
