"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K1
(194)","GO:0006629","lipid metabolic process",0.123711340206186,"33/549",7.21854478752056e-06,0.001580861308467,0.00155008751226757,"854808/853243/852751/852362/856050/852114/856595/853354/852330/853690/852458/851246/851891/854251/850519/856739/855018/856112/852382/851725/854190/856442/853045/851772",24,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"BP"
"2","K1
(194)","GO:0044255","cellular lipid metabolic process",0.123711340206186,"33/549",7.21854478752056e-06,0.001580861308467,0.00155008751226757,"854808/853243/852751/852362/856050/852114/856595/853354/852330/853690/852458/851246/851891/854251/850519/856739/855018/856112/852382/851725/854190/856442/853045/851772",24,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"BP"
"3","K1
(194)","GO:1901566","organonitrogen compound biosynthetic process",0.154639175257732,"48/549",5.52543475856576e-05,0.00736347251439537,0.00722013166516057,"853243/851098/856897/851902/852845/852362/856050/852009/856595/853354/854241/853690/852458/852857/851464/851246/856718/851891/856720/852303/856739/851725/851583/850746/855581/855021/853045/851517/856474/853137",30,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"BP"
"4","K1
(194)","GO:0071554","cell wall organization or biogenesis",0.139175257731959,"42/549",6.72463243323778e-05,0.00736347251439537,0.00722013166516057,"853692/851625/850891/853693/852856/852141/851902/850811/850992/850812/853102/853690/852857/851464/851246/856720/855352/852303/855438/853766/855255/850600/856357/856272/853045/855562/856893",27,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"BP"
"5","K1
(194)","GO:0045229","external encapsulating structure organization",0.123711340206186,"38/549",0.000274990787177366,0.0200743274639478,0.0196835510821694,"853692/851625/850891/853693/852856/852141/851902/850811/850992/850812/853102/853690/851464/856720/855352/855438/853766/855255/850600/856357/856272/853045/855562/856893",24,"K1 (194)","Consensus clustering",NA,"Consensus Clustering",1,"BP"
"6","K11
(9)","GO:0000083","regulation of transcription involved in G1/S transition of mitotic cell cycle",0.555555555555556,"17/549",1.77374656163158e-06,0.000356523058887948,0.000263261331779003,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"7","K11
(9)","GO:0000082","G1/S transition of mitotic cell cycle",0.555555555555556,"26/549",1.78180908234136e-05,0.00119381208516871,0.000881526598632041,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"8","K11
(9)","GO:0044843","cell cycle G1/S phase transition",0.555555555555556,"26/549",1.78180908234136e-05,0.00119381208516871,0.000881526598632041,"853952/855407/855743/851191/854232",5,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"9","K11
(9)","GO:0044770","cell cycle phase transition",0.666666666666667,"63/549",0.000116269391144053,0.00303454833356914,0.00224075053696386,"853952/855407/853770/855743/851191/854232",6,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"10","K11
(9)","GO:0044772","mitotic cell cycle phase transition",0.666666666666667,"63/549",0.000116269391144053,0.00303454833356914,0.00224075053696386,"853952/855407/853770/855743/851191/854232",6,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"11","K11
(9)","GO:0006355","regulation of transcription, DNA-templated",0.666666666666667,"81/549",0.000505126534491091,0.00681008729305151,0.00502865833108281,"853952/855407/855743/854493/851191/854232",6,"K11 (9)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"12","K14
(3)","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",1,"14/549",1.32712675526186e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"13","K14
(3)","GO:1904029","regulation of cyclin-dependent protein kinase activity",1,"14/549",1.32712675526186e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"14","K14
(3)","GO:0071900","regulation of protein serine/threonine kinase activity",1,"15/549",1.65890844407732e-05,0.000768627579089158,0.000302678031901827,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"15","K14
(3)","GO:0045859","regulation of protein kinase activity",1,"17/549",2.47924778455512e-05,0.000827077060927587,0.00032569486685524,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"16","K14
(3)","GO:0043549","regulation of kinase activity",1,"18/549",2.97509734146614e-05,0.000827077060927587,0.00032569486685524,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"17","K14
(3)","GO:0051984","positive regulation of chromosome segregation",0.666666666666667,"11/549",0.00108485320337408,0.00655628675082597,0.00258180167393374,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"18","K14
(3)","GO:0044770","cell cycle phase transition",1,"63/549",0.00144784424665395,0.00711090314597341,0.00280020419228033,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"19","K14
(3)","GO:0044772","mitotic cell cycle phase transition",1,"63/549",0.00144784424665395,0.00711090314597341,0.00280020419228033,"853003/850907/853002",3,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"20","K14
(3)","GO:0051495","positive regulation of cytoskeleton organization",0.666666666666667,"13/549",0.0015347272976921,0.00711090314597341,0.00280020419228033,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"21","K14
(3)","GO:0045931","positive regulation of mitotic cell cycle",0.666666666666667,"16/549",0.00235236863322789,0.00838408307740195,0.00330157001154791,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"22","K14
(3)","GO:0070925","organelle assembly",0.666666666666667,"23/549",0.00491653065440401,0.0119894344028449,0.00472132214273331,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"23","K14
(3)","GO:0000226","microtubule cytoskeleton organization",0.666666666666667,"44/549",0.0179006794378553,0.0331759258914919,0.0130643555195576,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"24","K14
(3)","GO:0007017","microtubule-based process",0.666666666666667,"49/549",0.0221099317426626,0.0404379014767118,0.0159240505625825,"850907/853002",2,"K14 (3)","Consensus clustering",NA,"Consensus Clustering",14,"BP"
"25","K15
(2)","GO:0032446","protein modification by small protein conjugation",1,"12/549",0.000438753938813769,0.0111483387180408,0.00736854701070014,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"26","K15
(2)","GO:0070647","protein modification by small protein conjugation or removal",1,"13/549",0.000518527382234454,0.0111483387180408,0.00736854701070014,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"27","K15
(2)","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0145785967851302,0.00963579224476172,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"28","K15
(2)","GO:0018193","peptidyl-amino acid modification",1,"27/549",0.00233337322005505,0.0250837621155918,0.0165792307740753,"851453/851099",2,"K15 (2)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
"29","K16
(4)","GO:0006260","DNA replication",1,"51/549",6.67489788149456e-05,0.00720888971201412,0.00463729747556464,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"30","K16
(4)","GO:0007064","mitotic sister chromatid cohesion",0.75,"22/549",0.000218729111671328,0.0087828594795682,0.00564979264767545,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"31","K16
(4)","GO:0006281","DNA repair",1,"72/549",0.000274792644717999,0.0087828594795682,0.00564979264767545,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"32","K16
(4)","GO:0007062","sister chromatid cohesion",0.75,"25/549",0.000325291091835859,0.0087828594795682,0.00564979264767545,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"33","K16
(4)","GO:0006974","cellular response to DNA damage stimulus",1,"81/549",0.000444389539870258,0.00959881406119756,0.00617467571188147,"850584/854315/851391/855102",4,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"34","K16
(4)","GO:0000070","mitotic sister chromatid segregation",0.75,"60/549",0.00459983399440825,0.0308220378703163,0.0198270419048818,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"35","K16
(4)","GO:0000819","sister chromatid segregation",0.75,"63/549",0.00531406569651009,0.0318843941790605,0.020510429004074,"850584/854315/855102",3,"K16 (4)","Consensus clustering",NA,"Consensus Clustering",16,"BP"
"36","K17
(2)","GO:0006271","DNA strand elongation involved in DNA replication",1,"13/549",0.000518527382234454,0.0199433608551713,0.016374548912667,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"BP"
"37","K17
(2)","GO:0022616","DNA strand elongation",1,"16/549",0.000797734434206852,0.0199433608551713,0.016374548912667,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"BP"
"38","K17
(2)","GO:0006270","DNA replication initiation",1,"21/549",0.00139603525986199,0.022934864983447,0.018830731249567,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"BP"
"39","K17
(2)","GO:0071897","DNA biosynthetic process",1,"24/549",0.00183478919867576,0.022934864983447,0.018830731249567,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"BP"
"40","K19
(2)","GO:0043414","macromolecule methylation",1,"10/549",0.00029915041282757,0.0372940847991704,0.0247087744489859,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"41","K19
(2)","GO:0032259","methylation",1,"12/549",0.000438753938813769,0.0372940847991704,0.0247087744489859,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"42","K19
(2)","GO:0016570","histone modification",1,"16/549",0.000797734434206852,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"43","K19
(2)","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"44","K19
(2)","GO:0016569","covalent chromatin modification",1,"20/549",0.00126307952082752,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"45","K19
(2)","GO:0006348","chromatin silencing at telomere",1,"21/549",0.00139603525986199,0.0395543323627565,0.0262062759307427,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"46","K19
(2)","GO:0018193","peptidyl-amino acid modification",1,"27/549",0.00233337322005505,0.0446912586436339,0.0296096883892806,"852050/851265",2,"K19 (2)","Consensus clustering",NA,"Consensus Clustering",19,"BP"
"47","K25
(2)","GO:0016570","histone modification",1,"16/549",0.000797734434206852,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"BP"
"48","K25
(2)","GO:0018205","peptidyl-lysine modification",1,"18/549",0.00101711140361374,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"BP"
"49","K25
(2)","GO:0016569","covalent chromatin modification",1,"20/549",0.00126307952082752,0.0471549687775606,0.0350116779457452,"850658/850638",2,"K25 (2)","Consensus clustering",NA,"Consensus Clustering",25,"BP"
"50","K26
(4)","GO:0007020","microtubule nucleation",0.75,"12/549",3.16877355010446e-05,0.00172232464824976,0.00137404293267571,"850909/856577/855597",3,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"BP"
