"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K6
(6)","GO:0016740","transferase activity",0.666666666666667,"86/546",0.0067232175739798,0.0345872996785561,0.025030282662113,"856642/853237/850906/851656",4,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"MF"
"2","K6
(6)","GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups",0.333333333333333,"13/546",0.00744838055904864,0.0345872996785561,0.025030282662113,"856642/853237",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"MF"
"3","K6
(6)","GO:0016746","transferase activity, transferring acyl groups",0.333333333333333,"14/546",0.00864682491963902,0.0345872996785561,0.025030282662113,"856642/853237",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"MF"
"4","K6
(6)","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.333333333333333,"14/546",0.00864682491963902,0.0345872996785561,0.025030282662113,"854942/850906",2,"K6 (6)","Consensus clustering",NA,"Consensus Clustering",6,"MF"
"5","K10
(7)","GO:0019899","enzyme binding",0.428571428571429,"22/546",0.00179629865405576,0.0215555838486691,0.0207992475732772,"853891/852961/854183",3,"K10 (7)","Consensus clustering",NA,"Consensus Clustering",10,"MF"
"6","K14
(4)","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",1,"15/546",3.72697104590734e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"MF"
"7","K14
(4)","GO:0019887","protein kinase regulator activity",1,"15/546",3.72697104590734e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"MF"
"8","K14
(4)","GO:0019207","kinase regulator activity",1,"16/546",4.96929472787646e-07,8.28215787979409e-07,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"MF"
"9","K14
(4)","GO:0030234","enzyme regulator activity",1,"42/546",3.05611625764401e-05,3.70652048683492e-05,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"MF"
"10","K14
(4)","GO:0098772","molecular function regulator",1,"44/546",3.70652048683492e-05,3.70652048683492e-05,NA,"856093/853003/850907/853002",4,"K14 (4)","Consensus clustering",NA,"Consensus Clustering",14,"MF"
"11","K17
(2)","GO:0016779","nucleotidyltransferase activity",1,"10/546",0.000302449843734247,0.0057465470309507,0.00350205082218602,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"MF"
"12","K17
(2)","GO:0140097","catalytic activity, acting on DNA",1,"30/546",0.00292368182276439,0.0277749773162617,0.0169265789738991,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"MF"
"13","K17
(2)","GO:0016772","transferase activity, transferring phosphorus-containing groups",1,"38/546",0.0047249386698928,0.0299246115759877,0.0182366053925687,"853821/852245",2,"K17 (2)","Consensus clustering",NA,"Consensus Clustering",17,"MF"
"14","K26
(4)","GO:0005200","structural constituent of cytoskeleton",0.75,"18/546",0.000118473447076012,0.00390962375350839,0.00336714007479191,"850909/856577/855597",3,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"MF"
"15","K26
(4)","GO:0005198","structural molecule activity",0.75,"31/546",0.000640654036073738,0.0105707915952167,0.00910403103894259,"850909/856577/855597",3,"K26 (4)","Consensus clustering",NA,"Consensus Clustering",26,"MF"
"16","K28
(2)","GO:0098772","molecular function regulator",1,"44/546",0.00635816782605774,0.0317908391302887,0.026771232951822,"855861/850345",2,"K28 (2)","Consensus clustering",NA,"Consensus Clustering",28,"MF"
"17","K29
(2)","GO:0003697","single-stranded DNA binding",1,"14/546",0.000611620795107034,0.00795107033639144,0.00450667954289394,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"MF"
"18","K29
(2)","GO:0043565","sequence-specific DNA binding",1,"42/546",0.00578687367678193,0.0275520605795835,0.0156165525552295,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"MF"
"19","K29
(2)","GO:0003690","double-stranded DNA binding",1,"44/546",0.00635816782605774,0.0275520605795835,0.0156165525552295,"851266/855404",2,"K29 (2)","Consensus clustering",NA,"Consensus Clustering",29,"MF"
"20","K32
(2)","GO:0030674","protein-macromolecule adaptor activity",1,"12/546",0.000443593104143563,0.00133077931243069,0.000466940109624803,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"21","K32
(2)","GO:0060090","molecular adaptor activity",1,"12/546",0.000443593104143563,0.00133077931243069,0.000466940109624803,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"22","K32
(2)","GO:0019899","enzyme binding",1,"22/546",0.00155257586450247,0.00310515172900494,0.00108952692245787,"851023/850639",2,"K32 (2)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"23","K33
(2)","GO:0003682","chromatin binding",1,"29/546",0.00272876970124676,0.0109150788049871,0.00861716747762136,"851561/851761",2,"K33 (2)","Consensus clustering",NA,"Consensus Clustering",33,"MF"
"24","K40
(2)","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity",1,"15/546",0.000705716302046577,0.00134422152770777,NA,"855819/855239",2,"K40 (2)","Consensus clustering",NA,"Consensus Clustering",40,"MF"
"25","K40
(2)","GO:0019887","protein kinase regulator activity",1,"15/546",0.000705716302046577,0.00134422152770777,NA,"855819/855239",2,"K40 (2)","Consensus clustering",NA,"Consensus Clustering",40,"MF"
"26","K40
(2)","GO:0019207","kinase regulator activity",1,"16/546",0.000806532916624659,0.00134422152770777,NA,"855819/855239",2,"K40 (2)","Consensus clustering",NA,"Consensus Clustering",40,"MF"
"27","K40
(2)","GO:0030234","enzyme regulator activity",1,"42/546",0.00578687367678193,0.00635816782605774,NA,"855819/855239",2,"K40 (2)","Consensus clustering",NA,"Consensus Clustering",40,"MF"
"28","K40
(2)","GO:0098772","molecular function regulator",1,"44/546",0.00635816782605774,0.00635816782605774,NA,"855819/855239",2,"K40 (2)","Consensus clustering",NA,"Consensus Clustering",40,"MF"
"29","K43
(3)","GO:0008017","microtubule binding",1,"19/546",3.59159189434419e-05,8.97897973586047e-05,1.89031152333905e-05,"852819/853010/853814",3,"K43 (3)","Consensus clustering",NA,"Consensus Clustering",43,"MF"
"30","K43
(3)","GO:0015631","tubulin binding",1,"19/546",3.59159189434419e-05,8.97897973586047e-05,1.89031152333905e-05,"852819/853010/853814",3,"K43 (3)","Consensus clustering",NA,"Consensus Clustering",43,"MF"
"31","K43
(3)","GO:0008092","cytoskeletal protein binding",1,"24/546",7.50194220242789e-05,0.000125032370040465,2.63226042190452e-05,"852819/853010/853814",3,"K43 (3)","Consensus clustering",NA,"Consensus Clustering",43,"MF"
"32","K43
(3)","GO:0005515","protein binding",1,"103/546",0.00655497025909871,0.00819371282387338,0.00172499217344703,"852819/853010/853814",3,"K43 (3)","Consensus clustering",NA,"Consensus Clustering",43,"MF"
"33","K50
(2)","GO:0005200","structural constituent of cytoskeleton",1,"18/546",0.00102832946869644,0.00925496521826797,0.00649471243387226,"856738/855339",2,"K50 (2)","Consensus clustering",NA,"Consensus Clustering",50,"MF"
"34","K50
(2)","GO:0005198","structural molecule activity",1,"31/546",0.00312531505192056,0.0140639177336425,0.00986941595343334,"856738/855339",2,"K50 (2)","Consensus clustering",NA,"Consensus Clustering",50,"MF"
