"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K3
(12)","GO:0032787","monocarboxylic acid metabolic process",0.583333333333333,"14/549",8.94588576861862e-10,1.87863601140991e-07,1.77034371000032e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"BP"
"2","K3
(12)","GO:0019752","carboxylic acid metabolic process",0.583333333333333,"19/549",1.26055222536154e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"BP"
"3","K3
(12)","GO:0006082","organic acid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"BP"
"4","K3
(12)","GO:0043436","oxoacid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"BP"
"5","K3
(12)","GO:0006091","generation of precursor metabolites and energy",0.5,"12/549",2.17902679819912e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/856314/850317/850614/856044",6,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"BP"
"6","K11
(5)","GO:0045229","external encapsulating structure organization",0.8,"38/549",9.36609464380398e-05,0.000796118044723338,0.000591542819608673,"853693/852141/855562/856893",4,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"7","K11
(5)","GO:0071555","cell wall organization",0.8,"38/549",9.36609464380398e-05,0.000796118044723338,0.000591542819608673,"853693/852141/855562/856893",4,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"8","K11
(5)","GO:0071554","cell wall organization or biogenesis",0.8,"42/549",0.000141145864293617,0.000799826564330499,0.000594298375973126,"853693/852141/855562/856893",4,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"9","K11
(5)","GO:0031505","fungal-type cell wall organization",0.6,"29/549",0.0012388177688074,0.00526497551743147,0.00391205611202338,"853693/852141/856893",3,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"10","K11
(5)","GO:0071852","fungal-type cell wall organization or biogenesis",0.6,"32/549",0.00166727808689358,0.00566874549543817,0.00421207095636272,"853693/852141/856893",3,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"BP"
"11","K12
(20)","GO:0007064","mitotic sister chromatid cohesion",0.3,"22/549",5.44983213974692e-05,0.0133215942014093,0.0123571956697888,"850584/854315/853371/855459/850297/850540",6,"K12 (20)","Consensus clustering",NA,"Consensus Clustering",12,"BP"
"12","K12
(20)","GO:0007062","sister chromatid cohesion",0.3,"25/549",0.000120810898947972,0.0133215942014093,0.0123571956697888,"850584/854315/853371/855459/850297/850540",6,"K12 (20)","Consensus clustering",NA,"Consensus Clustering",12,"BP"
"13","K12
(20)","GO:0006974","cellular response to DNA damage stimulus",0.5,"81/549",0.000153121772429992,0.0133215942014093,0.0123571956697888,"851399/850584/853752/855642/854315/850719/853371/855459/850297/850540",10,"K12 (20)","Consensus clustering",NA,"Consensus Clustering",12,"BP"
"14","K12
(20)","GO:0006281","DNA repair",0.45,"72/549",0.000360070322916985,0.0208007038422309,0.0192948654313898,"850584/853752/855642/854315/850719/853371/855459/850297/850540",9,"K12 (20)","Consensus clustering",NA,"Consensus Clustering",12,"BP"
"15","K12
(20)","GO:0006302","double-strand break repair",0.35,"43/549",0.000398480916517834,0.0208007038422309,0.0192948654313898,"850584/853752/854315/850719/853371/855459/850540",7,"K12 (20)","Consensus clustering",NA,"Consensus Clustering",12,"BP"
"16","K15
(17)","GO:0016192","vesicle-mediated transport",0.411764705882353,"22/549",9.03125508714241e-07,0.000125534445711279,9.88684767434537e-05,"852129/851949/855458/854170/851055/851226/852675",7,"K15 (17)","Consensus clustering",NA,"Consensus Clustering",15,"BP"
