"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K2
(7)","GO:0005933","cellular bud",0.714285714285714,"73/550",0.000615054808928702,0.0196817538857185,0.0161856528665448,"855389/855804/854437/855945/851375",5,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"2","K2
(7)","GO:0005935","cellular bud neck",0.571428571428571,"57/550",0.0028779775772904,0.0243396461559259,0.0200161563782286,"855804/854437/855945/851375",4,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"3","K2
(7)","GO:0005618","cell wall",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"4","K2
(7)","GO:0009277","fungal-type cell wall",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"5","K2
(7)","GO:0030312","external encapsulating structure",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"6","K2
(7)","GO:0005576","extracellular region",0.428571428571429,"31/550",0.00487928559585072,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",NA,"Consensus Clustering",2,"CC"
"7","K3
(12)","GO:0005739","mitochondrion",0.5,"65/550",0.00113725020620379,0.0386665070109289,0.0383073753668646,"854556/854529/855447/856314/850614/856044",6,"K3 (12)","Consensus clustering",NA,"Consensus Clustering",3,"CC"
"8","K11
(5)","GO:0005576","extracellular region",0.8,"31/550",4.00660107932405e-05,0.000921518248244532,0.000801320215864811,"853693/853366/855562/856893",4,"K11 (5)","Consensus clustering",NA,"Consensus Clustering",11,"CC"
"9","K13
(10)","GO:0005618","cell wall",0.4,"30/550",0.00120890675426137,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",NA,"Consensus Clustering",13,"CC"
"10","K13
(10)","GO:0009277","fungal-type cell wall",0.4,"30/550",0.00120890675426137,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",NA,"Consensus Clustering",13,"CC"
"11","K13
(10)","GO:0030312","external encapsulating structure",0.4,"30/550",0.00120890675426137,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",NA,"Consensus Clustering",13,"CC"
"12","K13
(10)","GO:0005576","extracellular region",0.4,"31/550",0.00137543079312686,0.00928415785360629,0.00760106490938527,"852856/853367/856546/850731",4,"K13 (10)","Consensus clustering",NA,"Consensus Clustering",13,"CC"
"13","K13
(10)","GO:0031225","anchored component of membrane",0.3,"18/550",0.00306990194630122,0.0165774705100266,0.0135721980783844,"853367/856546/850731",3,"K13 (10)","Consensus clustering",NA,"Consensus Clustering",13,"CC"
"14","K15
(17)","GO:0016021","integral component of membrane",0.705882352941177,"110/550",6.11035719637493e-06,0.000222223302879229,0.000163743486332063,"852751/850490/856595/855669/853580/855458/854170/856313/851462/851055/851226/852675",12,"K15 (17)","Consensus clustering",NA,"Consensus Clustering",15,"CC"
"15","K15
(17)","GO:0016020","membrane",0.823529411764706,"163/550",7.40744342930762e-06,0.000222223302879229,0.000163743486332063,"852751/850490/852129/856595/851949/855669/853580/855458/854170/856313/851462/851055/851226/852675",14,"K15 (17)","Consensus clustering",NA,"Consensus Clustering",15,"CC"
