"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","Chain","Model","Cluster_plt","Ontology"
"1","K4
(16)","GO:0004518","nuclease activity",0.25,"20/546",0.0018058953806942,0.0440027037445156,0.037633891360441,"851456/851873/853500/852395",4,"K4 (16)","Consensus clustering",NA,"Consensus Clustering",4,"MF"
"2","K4
(16)","GO:0016788","hydrolase activity, acting on ester bonds",0.3125,"37/546",0.00275016898403222,0.0440027037445156,0.037633891360441,"854151/851456/851873/853500/852395",5,"K4 (16)","Consensus clustering",NA,"Consensus Clustering",4,"MF"
"3","K18
(17)","GO:0140097","catalytic activity, acting on DNA",0.411764705882353,"30/546",9.78210568834014e-06,0.000616272658365429,0.000494253761095081,"853821/852245/856305/851391/850793/855621/853747",7,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"4","K18
(17)","GO:0016779","nucleotidyltransferase activity",0.235294117647059,"10/546",0.000121462759742027,0.00382607693187384,0.0030685328776933,"853821/852245/856305/855621",4,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"5","K18
(17)","GO:0003697","single-stranded DNA binding",0.235294117647059,"14/546",0.000535577355778512,0.00722106699048179,0.00579133192219091,"853821/856305/851266/850793",4,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"6","K18
(17)","GO:0016772","transferase activity, transferring phosphorus-containing groups",0.352941176470588,"38/546",0.00053720824332971,0.00722106699048179,0.00579133192219091,"853821/852245/856305/855621/855950/852119",6,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"7","K18
(17)","GO:0003677","DNA binding",0.529411764705882,"92/546",0.000573100554800142,0.00722106699048179,0.00579133192219091,"853821/852245/856305/851391/851671/851266/850793/855621/855950",9,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"8","K18
(17)","GO:0003676","nucleic acid binding",0.529411764705882,"119/546",0.00416293747097505,0.043710843445238,0.035056315545053,"853821/852245/856305/851391/851671/851266/850793/855621/855950",9,"K18 (17)","Consensus clustering",NA,"Consensus Clustering",18,"MF"
"9","K20
(23)","GO:0000030","mannosyltransferase activity",0.217391304347826,"10/546",1.85530549730919e-05,0.000909099693681504,0.000898358451328661,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"MF"
"10","K20
(23)","GO:0016758","transferase activity, transferring hexosyl groups",0.217391304347826,"16/546",0.000271403686967537,0.00664939033070465,0.00657082610552984,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"MF"
"11","K20
(23)","GO:0016757","transferase activity, transferring glycosyl groups",0.217391304347826,"18/546",0.000503016571935332,0.00821593734161042,0.00811886396807904,"852845/856050/854499/852458/851464",5,"K20 (23)","Consensus clustering",NA,"Consensus Clustering",20,"MF"
"12","K26
(3)","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",0.666666666666667,"11/546",0.00109675133285495,0.00813545601726929,0.00666060726560059,"853102/855352",2,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"MF"
"13","K26
(3)","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.666666666666667,"14/546",0.00180787911494873,0.00813545601726929,0.00666060726560059,"853102/855352",2,"K26 (3)","Consensus clustering",NA,"Consensus Clustering",26,"MF"
"14","K31
(14)","GO:0005200","structural constituent of cytoskeleton",0.285714285714286,"18/546",0.000678317184330746,0.037307445138191,0.0328448320833835,"852787/851957/854555/856577",4,"K31 (14)","Consensus clustering",NA,"Consensus Clustering",31,"MF"
"15","K31
(14)","GO:0005515","protein binding",0.571428571428571,"103/546",0.00138076511152878,0.0379710405670414,0.0334290500685915,"852099/853100/852787/850639/856458/856577/855555/852249",8,"K31 (14)","Consensus clustering",NA,"Consensus Clustering",31,"MF"
"16","K32
(8)","GO:0046982","protein heterodimerization activity",0.75,"12/546",7.09022833994087e-10,6.38120550594678e-09,7.46339825256933e-10,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"17","K32
(8)","GO:0046983","protein dimerization activity",0.75,"16/546",6.06629406899036e-09,2.72983233104566e-08,3.19278635210019e-09,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"18","K32
(8)","GO:0003677","DNA binding",1,"92/546",5.00281089020266e-07,1.5008432670608e-06,1.75537224217637e-07,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"19","K32
(8)","GO:0003676","nucleic acid binding",1,"119/546",4.21507228283487e-06,9.48391263637847e-06,1.10922954811444e-06,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"20","K32
(8)","GO:1901363","heterocyclic compound binding",1,"175/546",9.96864003893558e-05,0.000171786171932462,2.00919499336213e-05,"855701/852284/851811/852295/851810/855700/852283/852294",8,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"21","K32
(8)","GO:0005515","protein binding",0.75,"103/546",0.000800833399407063,0.0010296429420948,0.000120426075098806,"852284/851811/852295/851810/852283/852294",6,"K32 (8)","Consensus clustering",NA,"Consensus Clustering",32,"MF"
"22","K38
(9)","GO:0008289","lipid binding",0.444444444444444,"14/546",3.19652975288265e-05,0.00073520184316301,0.00073520184316301,"851926/854903/852382/855221",4,"K38 (9)","Consensus clustering",NA,"Consensus Clustering",38,"MF"
"23","K47
(19)","GO:0003723","RNA binding",0.421052631578947,"30/546",1.57830492786783e-06,6.94454168261845e-05,6.6454944331277e-05,"854221/853996/853784/853956/856553/850982/854021/856228",8,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"MF"
"24","K47
(19)","GO:0140098","catalytic activity, acting on RNA",0.263157894736842,"14/546",4.81532821427631e-05,0.00105937220714079,0.0010137533082687,"854221/853996/853784/855571/851656",5,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"MF"
"25","K47
(19)","GO:0003676","nucleic acid binding",0.526315789473684,"119/546",0.002622872821021,0.0384688013749746,0.0368122501195929,"854221/853996/852569/853784/855571/853956/856553/850982/854021/856228",10,"K47 (19)","Consensus clustering",NA,"Consensus Clustering",47,"MF"
"26","K51
(18)","GO:0019899","enzyme binding",0.333333333333333,"22/546",2.83642764790715e-05,0.00153167092986986,0.0014331423905215,"852960/852961/855418/853361/853406/854183",6,"K51 (18)","Consensus clustering",NA,"Consensus Clustering",51,"MF"
"27","K53
(9)","GO:0003682","chromatin binding",0.444444444444444,"29/546",0.000677091264336194,0.0188456781901328,0.0142582433675347,"852501/850980/853650/853244",4,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"MF"
"28","K53
(9)","GO:0003688","DNA replication origin binding",0.333333333333333,"13/546",0.000819064687392371,0.0188456781901328,0.0142582433675347,"852501/850980/853244",3,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"MF"
"29","K53
(9)","GO:1990837","sequence-specific double-stranded DNA binding",0.444444444444444,"31/546",0.000883391165162475,0.0188456781901328,0.0142582433675347,"852501/850980/853650/853244",4,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"MF"
"30","K53
(9)","GO:0043565","sequence-specific DNA binding",0.444444444444444,"42/546",0.00288706147792162,0.0441280368246715,0.0333863436502449,"852501/850980/853650/853244",4,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"MF"
"31","K53
(9)","GO:0003690","double-stranded DNA binding",0.444444444444444,"44/546",0.00344750287692746,0.0441280368246715,0.0333863436502449,"852501/850980/853650/853244",4,"K53 (9)","Consensus clustering",NA,"Consensus Clustering",53,"MF"
"32","K54
(6)","GO:0000166","nucleotide binding",1,"87/546",1.41066351651152e-05,0.000171265626542221,5.65583080428388e-05,"852673/853671/852258/851772/856394/856680",6,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"33","K54
(6)","GO:1901265","nucleoside phosphate binding",1,"87/546",1.41066351651152e-05,0.000171265626542221,5.65583080428388e-05,"852673/853671/852258/851772/856394/856680",6,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"34","K54
(6)","GO:0043168","anion binding",1,"88/546",1.51388279820748e-05,0.000171265626542221,5.65583080428388e-05,"852673/853671/852258/851772/856394/856680",6,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"35","K54
(6)","GO:0036094","small molecule binding",1,"89/546",1.62332010892128e-05,0.000171265626542221,5.65583080428388e-05,"852673/853671/852258/851772/856394/856680",6,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"36","K54
(6)","GO:0017111","nucleoside-triphosphatase activity",0.833333333333333,"48/546",2.41637107117023e-05,0.000171265626542221,5.65583080428388e-05,"852673/853671/852258/856394/856680",5,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"37","K54
(6)","GO:0003688","DNA replication origin binding",0.5,"13/546",0.000203342628674293,0.000797728774029919,0.000263439842816898,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"38","K54
(6)","GO:1901363","heterocyclic compound binding",1,"175/546",0.00102193306908023,0.00248183745348056,0.000819595443873868,"852673/853671/852258/851772/856394/856680",6,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"39","K54
(6)","GO:0140097","catalytic activity, acting on DNA",0.5,"30/546",0.00268571109428216,0.005268125608015,0.00173973188293581,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"40","K54
(6)","GO:1990837","sequence-specific double-stranded DNA binding",0.5,"31/546",0.00296073711820627,0.00539277117958999,0.00178089450719174,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"41","K54
(6)","GO:0043565","sequence-specific DNA binding",0.5,"42/546",0.00721052654724748,0.0122578951303207,0.00404801490371788,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"42","K54
(6)","GO:0003690","double-stranded DNA binding",0.5,"44/546",0.00824632880172576,0.0135665409318714,0.00448017863591213,"852673/852258/856680",3,"K54 (6)","Consensus clustering",NA,"Consensus Clustering",54,"MF"
"43","K4
(44)","GO:0016788","hydrolase activity, acting on ester bonds",0.227272727272727,"37/546",0.000283949378675777,0.0186987640905424,0.0184211845966207,"854151/851456/851873/853500/850934/852395/851098/852092/854550/851856",10,"K4 (44)","Bayesian",1,"Bayesian: chain 1",4,"MF"
"44","K4
(44)","GO:0004518","nuclease activity",0.159090909090909,"20/546",0.000479455489501086,0.0186987640905424,0.0184211845966207,"851456/851873/853500/850934/852395/854550/851856",7,"K4 (44)","Bayesian",1,"Bayesian: chain 1",4,"MF"
"45","K13
(26)","GO:0003697","single-stranded DNA binding",0.230769230769231,"14/546",1.49077537151721e-05,0.00105845051377722,0.000768926244256245,"853821/855642/856305/851266/850793/855404",6,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"46","K13
(26)","GO:0140097","catalytic activity, acting on DNA",0.269230769230769,"30/546",0.000233778389948465,0.00787901653033129,0.00572382223849122,"853821/852245/856305/851391/850793/855621/853747",7,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"47","K13
(26)","GO:0003677","DNA binding",0.461538461538462,"92/546",0.000332916191422449,0.00787901653033129,0.00572382223849122,"853821/855642/852245/856305/851391/851671/851266/850793/855621/855950/854063/855404",12,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"48","K13
(26)","GO:0003690","double-stranded DNA binding",0.307692307692308,"44/546",0.000489621932477061,0.00869078930146784,0.00631354597141474,"855642/856305/851671/851266/850793/855950/854063/855404",8,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"49","K13
(26)","GO:0016779","nucleotidyltransferase activity",0.153846153846154,"10/546",0.000703138490399241,0.00998456656366923,0.0072534286378027,"853821/852245/856305/855621",4,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"50","K13
(26)","GO:0003676","nucleic acid binding",0.461538461538462,"119/546",0.00401906585915259,0.0475589459999723,0.0345498644032416,"853821/855642/852245/856305/851391/851671/851266/850793/855621/855950/854063/855404",12,"K13 (26)","Bayesian",1,"Bayesian: chain 1",13,"MF"
"51","K14
(29)","GO:0000030","mannosyltransferase activity",0.137931034482759,"10/546",0.00108686756173372,0.0423502686300892,0.0412770649416074,"852845/856050/854499/852458",4,"K14 (29)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"52","K14
(29)","GO:0016757","transferase activity, transferring glycosyl groups",0.172413793103448,"18/546",0.00156852846778108,0.0423502686300892,0.0412770649416074,"852845/856050/853102/854499/852458",5,"K14 (29)","Bayesian",1,"Bayesian: chain 1",14,"MF"
"53","K19
(16)","GO:0046982","protein heterodimerization activity",0.375,"12/546",1.87722333466818e-07,8.25978267253997e-06,7.11368842611098e-06,"852284/851811/852295/851810/852283/852294",6,"K19 (16)","Bayesian",1,"Bayesian: chain 1",19,"MF"
"54","K19
(16)","GO:0046983","protein dimerization activity",0.375,"16/546",1.52511299468856e-06,3.35524858831483e-05,2.8896877794099e-05,"852284/851811/852295/851810/852283/852294",6,"K19 (16)","Bayesian",1,"Bayesian: chain 1",19,"MF"
"55","K19
(16)","GO:0003677","DNA binding",0.625,"92/546",3.93388139532181e-05,0.000576969271313865,0.000496911334145913,"855701/855976/852284/851811/852295/851810/855700/852283/852294/852062",10,"K19 (16)","Bayesian",1,"Bayesian: chain 1",19,"MF"
"56","K19
(16)","GO:0005515","protein binding",0.625,"103/546",0.000112914029686518,0.00124205432655169,0.00106971186018806,"851691/852284/851811/852295/851810/852283/856648/855597/855743/852294",10,"K19 (16)","Bayesian",1,"Bayesian: chain 1",19,"MF"
"57","K19
(16)","GO:0003676","nucleic acid binding",0.625,"119/546",0.000418901919225729,0.00368633688918641,0.00317483559834237,"855701/855976/852284/851811/852295/851810/855700/852283/852294/852062",10,"K19 (16)","Bayesian",1,"Bayesian: chain 1",19,"MF"
"58","K23
(17)","GO:0008289","lipid binding",0.235294117647059,"14/546",0.000535577355778512,0.0257077130773686,0.0257077130773686,"851926/854903/852382/855221",4,"K23 (17)","Bayesian",1,"Bayesian: chain 1",23,"MF"
"59","K28
(17)","GO:0003723","RNA binding",0.470588235294118,"30/546",5.4712641181291e-07,2.35264357079551e-05,2.18850564725164e-05,"854221/853996/853784/853956/856553/850982/854021/856228",8,"K28 (17)","Bayesian",1,"Bayesian: chain 1",28,"MF"
"60","K28
(17)","GO:0140098","catalytic activity, acting on RNA",0.294117647058824,"14/546",2.63619558469921e-05,0.000566782050710331,0.000527239116939842,"854221/853996/853784/855571/851656",5,"K28 (17)","Bayesian",1,"Bayesian: chain 1",28,"MF"
"61","K28
(17)","GO:0003676","nucleic acid binding",0.588235294117647,"119/546",0.000829718787746849,0.0118926359577048,0.011062917169958,"854221/853996/852569/853784/855571/853956/856553/850982/854021/856228",10,"K28 (17)","Bayesian",1,"Bayesian: chain 1",28,"MF"
"62","K30
(19)","GO:0019899","enzyme binding",0.315789473684211,"22/546",4.03892428666856e-05,0.00218101911480102,0.00208323463207115,"852960/852961/855418/853361/853406/854183",6,"K30 (19)","Bayesian",1,"Bayesian: chain 1",30,"MF"
"63","K31
(13)","GO:0003688","DNA replication origin binding",0.461538461538462,"13/546",7.60453352267344e-08,4.33458410792386e-06,1.12066809807819e-06,"852501/852673/852258/856680/850980/853244",6,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"64","K31
(13)","GO:0003678","DNA helicase activity",0.384615384615385,"10/546",7.6768249803357e-07,2.07890735197833e-05,5.37482971887287e-06,"852501/852673/852258/856680/850980",5,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"65","K31
(13)","GO:0017111","nucleoside-triphosphatase activity",0.615384615384615,"48/546",1.85340130973083e-06,2.07890735197833e-05,5.37482971887287e-06,"852501/852673/853671/852258/856394/856680/850980/853244",8,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"66","K31
(13)","GO:0016462","pyrophosphatase activity",0.615384615384615,"49/546",2.1955242442278e-06,2.07890735197833e-05,5.37482971887287e-06,"852501/852673/853671/852258/856394/856680/850980/853244",8,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"67","K31
(13)","GO:0016817","hydrolase activity, acting on acid anhydrides",0.615384615384615,"49/546",2.1955242442278e-06,2.07890735197833e-05,5.37482971887287e-06,"852501/852673/853671/852258/856394/856680/850980/853244",8,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"68","K31
(13)","GO:0003690","double-stranded DNA binding",0.461538461538462,"44/546",0.000218849192283909,0.000542365389573167,0.000140223738763146,"852501/852673/852258/856680/850980/853244",6,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"69","K31
(13)","GO:0140097","catalytic activity, acting on DNA",0.384615384615385,"30/546",0.000337265551148353,0.000686576300552005,0.000177508184814923,"852501/852673/852258/856680/850980",5,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"70","K31
(13)","GO:0003697","single-stranded DNA binding",0.230769230769231,"14/546",0.00330988642822438,0.00628878421362633,0.00162590912263654,"852501/852258/850980",3,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"71","K31
(13)","GO:0003677","DNA binding",0.461538461538462,"92/546",0.0123131414174473,0.021268153357409,0.00549869154208174,"852501/852673/852258/856680/850980/853244",6,"K31 (13)","Bayesian",1,"Bayesian: chain 1",31,"MF"
"72","K2
(18)","GO:0000987","cis-regulatory region sequence-specific DNA binding",0.222222222222222,"12/546",0.000349815200701453,0.00813980621196896,0.00624765827673056,"852935/853650/852377/853803",4,"K2 (18)","Bayesian",2,"Bayesian: chain 2",2,"MF"
"73","K2
(18)","GO:0003700","DNA-binding transcription factor activity",0.222222222222222,"13/546",0.000494794547620732,0.00813980621196896,0.00624765827673056,"852935/853650/852377/853803",4,"K2 (18)","Bayesian",2,"Bayesian: chain 2",2,"MF"
"74","K2
(18)","GO:0000976","transcription regulatory region sequence-specific DNA binding",0.222222222222222,"14/546",0.000678317184330747,0.00813980621196896,0.00624765827673056,"852935/853650/852377/853803",4,"K2 (18)","Bayesian",2,"Bayesian: chain 2",2,"MF"
"75","K2
(18)","GO:0001067","regulatory region nucleic acid binding",0.222222222222222,"14/546",0.000678317184330747,0.00813980621196896,0.00624765827673056,"852935/853650/852377/853803",4,"K2 (18)","Bayesian",2,"Bayesian: chain 2",2,"MF"
"76","K2
(18)","GO:0140110","transcription regulator activity",0.222222222222222,"15/546",0.000905744758052725,0.00869514967730616,0.00667390874354639,"852935/853650/852377/853803",4,"K2 (18)","Bayesian",2,"Bayesian: chain 2",2,"MF"
"77","K3
(14)","GO:0016491","oxidoreductase activity",0.285714285714286,"18/546",0.000678317184330746,0.0352724935851988,0.0285607235507682,"854556/851539/855447/856044",4,"K3 (14)","Bayesian",2,"Bayesian: chain 2",3,"MF"
"78","K10
(7)","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds",0.428571428571429,"11/546",0.000204734931560983,0.00348049383653671,0.00301714635984607,"852856/850992/856546",3,"K10 (7)","Bayesian",2,"Bayesian: chain 2",10,"MF"
"79","K10
(7)","GO:0016798","hydrolase activity, acting on glycosyl bonds",0.428571428571429,"14/546",0.000444139073820431,0.00377518212747366,0.00327260370183475,"852856/850992/856546",3,"K10 (7)","Bayesian",2,"Bayesian: chain 2",10,"MF"
"80","K11
(21)","GO:0003677","DNA binding",0.571428571428571,"92/546",2.14447308662928e-05,0.00137246277544274,0.000948082838299261,"852245/856305/851391/851671/851266/850540/850793/855621/855950/852385/854063/855404",12,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"81","K11
(21)","GO:0003690","double-stranded DNA binding",0.380952380952381,"44/546",8.6984361661589e-05,0.00278349957317085,0.00192281220515091,"856305/851671/851266/850540/850793/855950/854063/855404",8,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"82","K11
(21)","GO:0005488","binding",0.904761904761905,"281/546",0.000142316310439032,0.00303608128936602,0.00209729299594363,"852245/856305/851391/851671/853327/851266/850540/850793/855621/855950/852385/851561/852119/853747/854063/852362/854786/850880/855404",19,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"83","K11
(21)","GO:0003676","nucleic acid binding",0.571428571428571,"119/546",0.000340471253338145,0.00544754005341033,0.00376310332636898,"852245/856305/851391/851671/851266/850540/850793/855621/855950/852385/854063/855404",12,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"84","K11
(21)","GO:0140097","catalytic activity, acting on DNA",0.285714285714286,"30/546",0.000501080633825046,0.00641383211296059,0.00443060770961093,"852245/856305/851391/850793/855621/853747",6,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"85","K11
(21)","GO:1901363","heterocyclic compound binding",0.619047619047619,"175/546",0.00397378439408555,0.0317468686108792,0.021930402658831,"852245/856305/851391/851671/851266/850540/850793/855621/855950/852385/852119/854063/855404",13,"K11 (21)","Bayesian",2,"Bayesian: chain 2",11,"MF"
"86","K14
(22)","GO:0000030","mannosyltransferase activity",0.181818181818182,"10/546",0.000356798324076837,0.0221214960927639,0.0206567450781327,"852845/856050/852458/856718",4,"K14 (22)","Bayesian",2,"Bayesian: chain 2",14,"MF"
"87","K16
(23)","GO:0016758","transferase activity, transferring hexosyl groups",0.260869565217391,"16/546",1.71556147156243e-05,0.00038961415443493,0.000361296333686527,"854499/851464/856313/851462/852303/851055",6,"K16 (23)","Bayesian",2,"Bayesian: chain 2",16,"MF"
"88","K16
(23)","GO:0000030","mannosyltransferase activity",0.217391304347826,"10/546",1.85530549730919e-05,0.00038961415443493,0.000361296333686527,"854499/851464/856313/851462/852303",5,"K16 (23)","Bayesian",2,"Bayesian: chain 2",16,"MF"
"89","K16
(23)","GO:0016757","transferase activity, transferring glycosyl groups",0.260869565217391,"18/546",3.76300341446062e-05,0.000526820478024487,0.000488530267842256,"854499/851464/856313/851462/852303/851055",6,"K16 (23)","Bayesian",2,"Bayesian: chain 2",16,"MF"
"90","K17
(20)","GO:0005515","protein binding",0.55,"103/546",0.000245343234321009,0.00642557189079262,0.00561735990452878,"852099/853100/851691/852787/850639/856458/856577/855555/852249/856263/856648",11,"K17 (20)","Bayesian",2,"Bayesian: chain 2",17,"MF"
"91","K17
(20)","GO:0008017","microtubule binding",0.25,"19/546",0.000326723994447082,0.00642557189079262,0.00561735990452878,"852787/856577/852249/856263/856648",5,"K17 (20)","Bayesian",2,"Bayesian: chain 2",17,"MF"
"92","K17
(20)","GO:0015631","tubulin binding",0.25,"19/546",0.000326723994447082,0.00642557189079262,0.00561735990452878,"852787/856577/852249/856263/856648",5,"K17 (20)","Bayesian",2,"Bayesian: chain 2",17,"MF"
"93","K17
(20)","GO:0008092","cytoskeletal protein binding",0.25,"24/546",0.00106078565583297,0.0156465884235363,0.0136785518778462,"852787/856577/852249/856263/856648",5,"K17 (20)","Bayesian",2,"Bayesian: chain 2",17,"MF"
"94","K17
(20)","GO:0005200","structural constituent of cytoskeleton",0.2,"18/546",0.00289374198141341,0.0341461553806783,0.0298512330714225,"852787/851957/854555/856577",4,"K17 (20)","Bayesian",2,"Bayesian: chain 2",17,"MF"
"95","K18
(8)","GO:0046982","protein heterodimerization activity",0.75,"12/546",7.09022833994087e-10,6.38120550594678e-09,7.46339825256933e-10,"852284/851811/852295/851810/852283/852294",6,"K18 (8)","Bayesian",2,"Bayesian: chain 2",18,"MF"
