"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Model","Chain","Cluster_plt","Ontology"
"1","K2
(7)","CC","GO:0005933","cellular bud",0.714285714285714,"73/550",0.000615054808928702,0.0196817538857185,0.0161856528665448,"855389/855804/854437/855945/851375",5,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"2","K2
(7)","CC","GO:0005935","cellular bud neck",0.571428571428571,"57/550",0.0028779775772904,0.0243396461559259,0.0200161563782286,"855804/854437/855945/851375",4,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"3","K2
(7)","CC","GO:0005618","cell wall",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"4","K2
(7)","CC","GO:0009277","fungal-type cell wall",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"5","K2
(7)","CC","GO:0030312","external encapsulating structure",0.428571428571429,"30/550",0.00443213382959425,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"6","K2
(7)","CC","GO:0005576","extracellular region",0.428571428571429,"31/550",0.00487928559585072,0.0243396461559259,0.0200161563782286,"853692/855389/855804",3,"K2 (7)","Consensus clustering",500,100,"CC(500,100)",NA,2,"ALL"
"7","K3
(12)","BP","GO:0032787","monocarboxylic acid metabolic process",0.583333333333333,"14/549",8.94588576861862e-10,1.87863601140991e-07,1.77034371000032e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",500,100,"CC(500,100)",NA,3,"ALL"
"8","K3
(12)","BP","GO:0019752","carboxylic acid metabolic process",0.583333333333333,"19/549",1.26055222536154e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",500,100,"CC(500,100)",NA,3,"ALL"
"9","K3
(12)","BP","GO:0006082","organic acid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",500,100,"CC(500,100)",NA,3,"ALL"
"10","K3
(12)","BP","GO:0043436","oxoacid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Consensus clustering",500,100,"CC(500,100)",NA,3,"ALL"
"11","K3
(12)","BP","GO:0006091","generation of precursor metabolites and energy",0.5,"12/549",2.17902679819912e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/856314/850317/850614/856044",6,"K3 (12)","Consensus clustering",500,100,"CC(500,100)",NA,3,"ALL"
"12","K4
(16)","MF","GO:0004518","nuclease activity",0.25,"20/546",0.0018058953806942,0.0440027037445156,0.037633891360441,"851456/851873/853500/852395",4,"K4 (16)","Consensus clustering",500,100,"CC(500,100)",NA,4,"ALL"
