"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster_str","Inference","R","S","Chain","Dataset","Ontology","Model","Cluster_plt"
"1","K3
(12)","GO:0032787","monocarboxylic acid metabolic process",0.583333333333333,"14/549",8.94588576861862e-10,1.87863601140991e-07,1.77034371000032e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",3
"2","K3
(12)","GO:0019752","carboxylic acid metabolic process",0.583333333333333,"19/549",1.26055222536154e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",3
"3","K3
(12)","GO:0006082","organic acid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",3
"4","K3
(12)","GO:0043436","oxoacid metabolic process",0.583333333333333,"20/549",1.92336875100776e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/855447/854706/850317/850614/856044",7,"K3 (12)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",3
"5","K3
(12)","GO:0006091","generation of precursor metabolites and energy",0.5,"12/549",2.17902679819912e-08,9.15191255243631e-07,8.62435869603021e-07,"854556/854529/856314/850317/850614/856044",6,"K3 (12)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",3
"6","K5
(7)","GO:0045229","external encapsulating structure organization",0.714285714285714,"38/549",2.32844840622948e-05,0.00036090950296557,0.000318629781905087,"850891/853693/850812/855562/856893",5,"K5 (7)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",5
"7","K5
(7)","GO:0071555","cell wall organization",0.714285714285714,"38/549",2.32844840622948e-05,0.00036090950296557,0.000318629781905087,"850891/853693/850812/855562/856893",5,"K5 (7)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",5
"8","K5
(7)","GO:0071554","cell wall organization or biogenesis",0.714285714285714,"42/549",3.89542135301428e-05,0.000402526873144809,0.000355371772555689,"850891/853693/850812/855562/856893",5,"K5 (7)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",5
"9","K5
(7)","GO:0031505","fungal-type cell wall organization",0.571428571428571,"29/549",0.000198481730354762,0.0015382334102494,0.001358032891901,"850891/853693/850812/856893",4,"K5 (7)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",5
"10","K5
(7)","GO:0071852","fungal-type cell wall organization or biogenesis",0.571428571428571,"32/549",0.000296415147334555,0.00183777391347424,0.00162248291172599,"850891/853693/850812/856893",4,"K5 (7)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",5
"11","K9
(22)","GO:0006974","cellular response to DNA damage stimulus",0.5,"81/549",6.80482635652238e-05,0.0131682479655174,0.0130969029688002,"851399/851453/850584/853752/855642/854315/850719/854198/855459/856254/850540",11,"K9 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",9
"12","K9
(22)","GO:0006302","double-strand break repair",0.363636363636364,"43/549",0.000103577288712648,0.0131682479655174,0.0130969029688002,"850584/853752/854315/850719/854198/855459/856254/850540",8,"K9 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",9
"13","K9
(22)","GO:0006281","DNA repair",0.454545454545455,"72/549",0.000145238029031442,0.0131682479655174,0.0130969029688002,"851453/850584/853752/855642/854315/850719/854198/855459/856254/850540",10,"K9 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",9
"14","K11
(17)","GO:0016192","vesicle-mediated transport",0.411764705882353,"22/549",9.03125508714241e-07,0.000133662575289708,0.000105523085755032,"852129/851949/855458/854170/851055/851226/852675",7,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"15","K11
(17)","GO:0006810","transport",0.588235294117647,"86/549",4.17131464143261e-05,0.00308677283466013,0.00243692592210011,"851539/852129/851949/855669/855458/854170/851462/851055/851226/852675",10,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"16","K11
(17)","GO:0051234","establishment of localization",0.588235294117647,"101/549",0.000184341338624175,0.00565078588549706,0.0044611467517082,"851539/852129/851949/855669/855458/854170/851462/851055/851226/852675",10,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"17","K11
(17)","GO:0015031","protein transport",0.352941176470588,"32/549",0.000190855575137395,0.00565078588549706,0.0044611467517082,"851539/852129/855458/851462/851226/852675",6,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"18","K11
(17)","GO:0071705","nitrogen compound transport",0.411764705882353,"47/549",0.000218275835293846,0.00565078588549706,0.0044611467517082,"851539/852129/855669/855458/851462/851226/852675",7,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"19","K11
(17)","GO:0071702","organic substance transport",0.411764705882353,"59/549",0.00096156152023683,0.0129373731813683,0.0102137156695013,"851539/852129/855669/855458/851462/851226/852675",7,"K11 (17)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",11
"20","K12
(24)","GO:0006260","DNA replication",0.583333333333333,"51/549",5.90588383954581e-10,2.20880055599013e-07,1.72203139321494e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850297/850793/855621/855950/853747/854063",14,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"21","K12
(24)","GO:0006261","DNA-dependent DNA replication",0.541666666666667,"47/549",3.12877864911196e-09,5.85081607383937e-07,4.56142992528428e-07,"853821/852245/855448/856305/851391/856237/851671/851266/850297/850793/855621/855950/854063",13,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"22","K12
(24)","GO:0006281","DNA repair",0.541666666666667,"72/549",9.37219998961894e-07,0.000116840093203916,9.10912069166473e-05,"853821/855448/856305/851391/853371/851671/851266/850297/850793/855621/855950/853747/854063",13,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"23","K12
(24)","GO:0043570","maintenance of DNA repeat elements",0.25,"12/549",2.82623228991247e-06,0.000254973585043361,0.000198783234047315,"855448/851391/851671/850297/853747/854063",6,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"24","K12
(24)","GO:0006259","DNA metabolic process",0.583333333333333,"95/549",3.95626240867219e-06,0.000254973585043361,0.000198783234047315,"853821/852245/855448/856305/851391/853371/851671/851266/850297/850793/855621/855950/853747/854063",14,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"25","K12
(24)","GO:0006974","cellular response to DNA damage stimulus",0.541666666666667,"81/549",4.09048532155124e-06,0.000254973585043361,0.000198783234047315,"853821/855448/856305/851391/853371/851671/851266/850297/850793/855621/855950/853747/854063",13,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"26","K12
(24)","GO:0033554","cellular response to stress",0.583333333333333,"110/549",2.60981490271521e-05,0.000976070773615487,0.000760967082160118,"853821/855448/856305/851391/853371/851671/853327/851266/850297/850793/855621/855950/853747/854063",14,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"27","K12
(24)","GO:0051716","cellular response to stimulus",0.666666666666667,"146/549",3.02157377275234e-05,0.0010273350827358,0.000800933909141052,"853821/855448/856305/851391/853371/851671/853327/851266/850297/850793/851023/855621/855950/852119/853747/854063",16,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"28","K12
(24)","GO:0006950","response to stress",0.583333333333333,"121/549",8.52209966357444e-05,0.00227661805298346,0.00177490346376701,"853821/855448/856305/851391/853371/851671/853327/851266/850297/850793/855621/855950/853747/854063",14,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"29","K12
(24)","GO:0050896","response to stimulus",0.666666666666667,"163/549",0.000140595799315247,0.00328642680899389,0.00256217344804758,"853821/855448/856305/851391/853371/851671/853327/851266/850297/850793/851023/855621/855950/852119/853747/854063",16,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"30","K12
(24)","GO:0033260","nuclear DNA replication",0.208333333333333,"18/549",0.000606880439753814,0.00667568483729195,0.00520451646476181,"851391/856237/850297/850793/855621",5,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"31","K12
(24)","GO:0044786","cell cycle DNA replication",0.208333333333333,"18/549",0.000606880439753814,0.00667568483729195,0.00520451646476181,"851391/856237/850297/850793/855621",5,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"32","K12
(24)","GO:0006270","DNA replication initiation",0.208333333333333,"21/549",0.00131801830176614,0.0136927456905704,0.010675177473369,"853821/852245/850793/855621/855950",5,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"33","K12
(24)","GO:0006302","double-strand break repair",0.25,"43/549",0.0074938640595529,0.0458613694985331,0.0357545717734131,"853821/853371/851266/850793/855621/853747",6,"K12 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",12
"34","K14
(22)","GO:0033554","cellular response to stress",0.590909090909091,"110/549",4.37740651915281e-05,0.0137888305353314,0.0125332060337849,"854674/852130/854941/851464/852700/850844/851246/851856/853798/856854/852786/856191/850519",13,"K14 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",14
"35","K14
(22)","GO:0006950","response to stress",0.590909090909091,"121/549",0.000131612555043755,0.0166782747202365,0.0151595345828048,"854674/852130/854941/851464/852700/850844/851246/851856/853798/856854/852786/856191/850519",13,"K14 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",14
"36","K14
(22)","GO:0050896","response to stimulus",0.681818181818182,"163/549",0.0001588407116213,0.0166782747202365,0.0151595345828048,"850811/854674/853690/852130/854941/851464/852700/850844/851246/851856/853798/856854/852786/856191/850519",15,"K14 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",14
"37","K14
(22)","GO:0051716","cellular response to stimulus",0.636363636363636,"146/549",0.000216065310620916,0.0170151432113971,0.0154657274970761,"850811/854674/852130/854941/851464/852700/850844/851246/851856/853798/856854/852786/856191/850519",14,"K14 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",14
"38","K14
(22)","GO:1901135","carbohydrate derivative metabolic process",0.318181818181818,"37/549",0.00028931499410602,0.0182268446286793,0.0165670901888079,"853690/852857/851464/850844/853798/852303/850519",7,"K14 (22)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",14
"39","K17
(24)","GO:1902850","microtubule cytoskeleton organization involved in mitosis",0.291666666666667,"23/549",1.886431884044e-05,0.00549891288328759,0.00505194425590109,"852099/851957/853041/854555/856577/852249/856263",7,"K17 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",17
"40","K17
(24)","GO:0007010","cytoskeleton organization",0.458333333333333,"68/549",3.25379460549562e-05,0.00549891288328759,0.00505194425590109,"852099/852787/851957/850639/853041/854555/856458/856577/855555/852249/856263",11,"K17 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",17
"41","K17
(24)","GO:0007052","mitotic spindle organization",0.25,"20/549",9.39343348450903e-05,0.00863391011432004,0.00793211922679667,"851957/853041/854555/856577/852249/856263",6,"K17 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",17
"42","K17
(24)","GO:0000278","mitotic cell cycle",0.625,"142/549",0.000117498557445477,0.00863391011432004,0.00793211922679667,"854370/852099/853100/852787/855636/854249/851957/850639/852274/853041/854555/856458/856577/852249/856263",15,"K17 (24)","Bayesian",676000,NA,3,"Timecourse","BP","Bayesian: chain 3",17
